gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
FCGR1B	-0.0637517956	6.2507169663	-2.2173983692	0.0599783295	0.0100435993	-4.9010156314
FCGR1C	0.0481235214	6.5003136622	1.7969622575	0.0728056274	0.1141304985	-5.9395781164
FCGR2A	0.0208178845	6.4554009011	0.9749762311	0.089184383	0.0013506508	-3.8956182678
FCGR2B	0.0404632807	6.647366882	0.9690522696	0.0860117183	0.0100467861	-5.4187697971
FCGR2C	-0.0639860619	6.1585399584	-2.693461572	0.0072538268	0.015588772	-3.9452573868
FCGR3A	-0.1890915934	6.5843395166	-3.3505500148	0.1808872278	1.89888629162848e-12	6.5236320713
FCGR3B	-0.1429400384	6.9097991049	-2.9696212209	0.0033463365	0.0050935168	-3.1654714035
FCGRT	-1.2328065039	9.9406117145	-7.8278588646	2.01992843590761e-14	4.42906947488624e-13	21.6919491004
FCHO1	0.1300504967	6.3155195495	2.9862775335	0.0029301776	0.0070812124	-3.1249176658
FCHO2	-0.3329603461	6.9226632056	-3.9489516144	8.70660673720276e-05	0.0003172028	0.1474648391
FCHSD1	0.0137751568	6.5583476122	0.4804185248	0.5197694465	0.3020728375	-7.1734451158
FCHSD2	-0.5883539559	7.6828287207	-7.1148615433	2.9675862874402e-12	4.78368832566854e-11	16.7938763209
FCN1	-0.0025286875	6.5482983299	-0.0946839684	0.9245950262	0.9424539814	-7.5437160156
FCN2	0.010713568	6.2227594935	0.3892739843	0.0046269254	0.0019568506	-2.935403864
FCN3	-0.0481522712	6.3759300153	-0.7415352733	0.5181578273	0.2731404775	-7.1340676039
FCRL1	0.0916145444	6.361186537	3.5081857876	0.0004822788	0.0014482775	-1.459433527
FCRL2	0.0191142397	6.3604197682	0.6552949429	0.3057855193	0.0009186499	-4.7759645236
FCRL3	-0.004186737	6.3931189055	-0.3563520164	0.2280908099	1.03945253459909e-05	-0.9196353387
FCRL4	0.0882720131	6.2716124479	3.1491440419	0.0017125257	0.0044228075	-2.633029012
FCRL5	0.1168173784	6.5737578438	4.2522383249	6.99373223994938e-05	1.89106162549308e-05	1.4370375153
FCRL6	0.0460180488	6.3695432842	1.6569707899	0.0980078409	0.1470506793	-6.1799438459
FCRLA	0.064208062	6.1647793447	2.0174864502	0.0440551811	0.0742973026	-5.521840373
FCRLB	0.3029585642	6.9232963537	4.3632540047	1.49009733975542e-05	6.59162568642768e-05	1.8225649331
FDFT1	1.0663346839	10.2163595621	9.7121309118	4.20675955312703e-13	1.02942451589109e-28	38.3211942551
FDPS	0.7532963635	8.2192495117	7.4148094647	3.81206754723124e-13	7.04963830553166e-12	18.8064358317
FDPSL2A	0.2017647223	6.6319612325	5.7690504866	1.23360347262929e-08	1.07677556118562e-07	8.6604232626
FDX1	0.079240833	6.697257992	2.635112368	0.008611421	0.018132318	-4.0988498242
FDX1L	0.0927270774	8.0520564666	1.3031688104	0.1929784667	0.2604808226	-6.7011868537
FDXACB1	0.0237963376	6.5094003335	0.8005155132	0.4237046032	0.5037505766	-7.2283195663
FDXR	-0.1634515016	6.4103513239	-4.071448735	0.0057351496	2.45690215605768e-07	1.7164779112
FECH	-0.206407686	7.0164342445	-4.9460101786	9.72244604132695e-07	5.04220044006148e-06	4.4441871042
FEM1A	0.4359292911	8.8105858259	6.5088482203	1.51408020270928e-10	1.86860522744087e-09	12.946593249
FEM1B	-0.146361103	7.1115227848	-2.1634293698	0.030871818	0.0547214155	-5.2191580773
FEM1C	-0.1880529215	8.7043571376	-2.0872342118	0.0372558223	0.0643304114	-5.3797861385
FEN1	0.4006447275	7.9969919506	4.1593483662	0.0013024911	1.11707404704989e-06	1.5737620858
FER	0.0833211981	7.1841618338	1.8949031372	0.0585486423	0.0948125109	-5.7599454724
FER1L3	-0.0251449644	10.2811917956	-0.1741964519	0.4720912392	0.4458067162	-7.2667042283
FER1L4	-0.4937174838	7.325893663	-2.1424859912	0.4732945691	6.898546322962e-05	-2.8854689775
FER1L5	-0.0270617299	6.4923672257	-0.9634379762	0.3474867592	0.3090782809	-7.060463215
FER1L6	-0.0745545054	6.4096466424	-2.7243069992	0.0066168536	0.0143972273	-3.8627340485
FERD3L	-0.0997080037	6.3117605354	-3.3416672268	0.0008804738	0.0024624382	-2.01894067
FERMT1	1.4747037918	6.8227441022	17.5393232277	1.1127880674589e-56	2.3255793457589e-54	118.1641294608
FERMT2	-1.3293099866	11.1454542689	-9.5955890215	1.75741733335039e-20	7.33904315397635e-19	35.4485730567
FERMT3	-0.1182640679	6.3499083433	-2.2004253343	0.0578480469	0.0116847908	-4.9620739692
FES	-0.1691215425	7.2333313853	-1.3508680164	0.1772076669	0.24257174	-6.638135675
FETUB	-0.048495007	6.4815227389	-1.8534676537	0.0642681823	0.102579682	-5.8370929326
FEV	0.0864505472	6.5632117285	2.7996052988	0.0052683597	0.0117817236	-3.657426721
FEZ1	0.1122061345	7.760951227	0.5118343985	0.2338873105	0.020160923	-5.9922248412
FEZ2	-0.7126426665	10.4121978763	-9.0342189381	4.97911745177298e-18	1.28774460528796e-17	30.8570039935
FEZF1	0.1725812665	6.4265865932	4.7258132693	2.81096664731142e-06	1.47026318625876e-05	3.4173868371
FEZF2	0.2515033161	6.4224058973	5.5129020414	5.09484369206719e-08	3.92199543176702e-07	7.2847691762
FFAR1	-0.0922224787	6.3841879394	-3.1013615342	0.0020096988	0.0050935168	-2.7799701458
FFAR2	0.0174757656	6.1680930102	0.5611329916	0.5749002275	0.6465026821	-7.3909833805
FFAR3	-0.1011197336	6.4055385183	-3.3028812554	0.0010094208	0.0027794528	-2.1454906442
FGA	-0.0032911002	6.335667289	-0.140430282	0.2295677788	0.0272068498	-5.8739323831
FGB	0.1065897233	6.4906623257	1.9717159726	0.0804254557	0.0256553966	-5.4781190459
FGD1	-0.5810731705	7.9518930629	-8.6271119039	4.81077764681328e-17	1.43626952614815e-15	27.6377616063
FGD2	0.1345682201	6.3654616699	3.2252313346	0.0121839527	7.86781774951369e-16	11.6211985726
FGD3	0.4132838464	6.5125857971	10.5992045424	2.54045287894119e-24	1.46684755409867e-22	44.1921241478
FGD4	0.0676811051	6.2659127927	2.1285893595	0.0336636033	0.0590012485	-5.2933094511
FGD5	-0.0917366347	6.4103216821	-0.4691301931	0.6391338563	0.7047258355	-7.4383010713
FGD6	0.1791578043	6.6242071153	3.3177056266	0.000958196	0.0026537208	-2.0972906227
FGF1	-0.0487741278	6.4997475412	-1.372833181	0.3646772667	0.0096552196	-6.0351318971
FGF10	-0.0102027655	6.1843344355	-0.4685238209	0.6395670861	0.705096443	-7.4385849208
FGF11	0.1931927459	7.4848898476	1.2141761138	0.2251213315	0.2968951388	-6.8127933147
FGF12	-0.023792408	6.2816490575	-0.6772579026	0.1279837396	0.0030343228	-4.8514666064
FGF13	-0.0211104117	6.3160729671	-0.2686800729	0.1153569949	0.0027649517	-3.943885232
FGF14	-0.0467684377	6.2331469668	-1.6747312746	0.1653070326	0.0373827092	-5.9356330026
FGF16	-0.0707615743	6.3359071929	-2.2854846541	0.0226054596	0.0418812405	-4.9500295806
FGF17	0.0056545132	6.4946649751	0.2352095092	0.8141201911	0.8542926182	-7.520565487
FGF18	-0.0482195383	6.6265390846	-1.2694734077	0.3781667794	0.0516580673	-6.3243133388
FGF19	-0.0415356693	6.3393394627	-1.1690624013	0.2428069422	0.3163328465	-6.866370402
FGF2	-0.4225273642	7.3224167314	-2.9419174463	0.0169807031	0.0006269181	-2.9361913651
FGF20	-0.0658286369	6.4809263656	-1.6912253857	0.1975516751	0.0247816036	-5.7934632924
FGF21	0.013019861	6.3485638376	-0.0418461891	0.0018171732	0.0040800896	-2.6783778567
FGF22	-0.0379840827	6.1890875511	-1.6659879549	0.0961975153	0.1446745692	-6.1650432634
FGF23	0.0226942222	6.5261949991	0.3594147569	9.35116181249006e-05	3.97621946725818e-05	0.9148698014
FGF3	-0.0491827038	6.1922750084	-1.7649193775	0.0780467678	0.1211060808	-5.9962992555
FGF4	-0.0287502775	6.2971468197	-0.9940081672	0.3205886972	0.3994124178	-7.0551299127
FGF5	-0.1813441555	6.5736464854	-3.6679686995	0.0039486671	1.85284639090957e-05	-0.425969015
FGF6	-0.0738802839	6.278892274	-2.42014561	0.0169929041	0.0211978715	-4.6249768556
FGF7	-0.0392281583	6.4379602409	-0.7280285766	0.4668582122	0.5454185273	-7.2836035346
FGF8	0.0087424885	6.1428226817	0.3494377319	0.7316104908	0.6596720343	-7.4690495542
FGF9	0.3823208883	6.6136865192	3.9902484004	7.3514547328459e-05	0.0002732913	0.3073163786
FGFBP1	3.5644198039	6.4743964345	30.42267419	4.30369810093041e-127	2.25853294450049e-123	279.4039953867
FGFBP2	-0.1182071516	6.2637216627	-1.4048625075	0.1605397705	0.2232037296	-6.564044012
FGFBP3	0.0113944425	6.6564852028	0.2020576701	0.8399348484	0.8755067714	-7.52780444
FGFR1	-0.1929924803	6.5639916449	-3.2869302346	0.0010303393	8.36078486763491e-11	7.2975657796
FGFR1OP	-0.3175514021	6.8425053692	-7.3561792461	5.72432479031865e-13	1.02574800669396e-11	18.4075062592
FGFR1OP2	-0.1773762295	7.437984398	-2.8208899499	0.0049351736	0.011130948	-3.5984016722
FGFR2	0.0229800717	6.1064526723	1.0190118097	0.3085764035	0.3866804307	-7.0300326322
FGFR3	1.1756163504	6.6840277403	6.819109021	1.2396812370315e-08	1.96542949456846e-63	73.5888026181
FGFR4	0.0626709507	6.2653362971	0.5416758901	0.2139522272	0.0007265338	-4.8791920816
FGFRL1	-0.1681281091	7.979815989	-1.5379647552	0.2555218887	0.032756505	-6.0093598122
FGG	-0.0660518052	6.282888813	-0.0526067864	0.0712871555	0.0045525275	-5.0044192429
FGGY	-0.1953069296	7.394601948	-2.4596524094	0.0330226047	0.0057088478	-4.3645417704
FGL1	0.0923400842	6.5624807478	3.2456786185	0.1180577095	3.84072508934395e-06	-0.9709895619
FGL2	-0.1606900011	6.7007446909	-1.4700375381	0.1420353467	0.2012742713	-6.4707669427
FGR	0.0007238629	6.4087251485	0.0013035157	0.3316514721	0.0065859432	-4.5660158838
FH	0.6151180681	9.254824176	4.9886142545	7.81441613060964e-07	4.65367152017178e-06	4.6475519373
FHAD1	-0.0076782935	6.3333010382	-0.3193446182	0.7495677846	0.8005887708	-7.4972673083
FHDC1	0.4644954348	6.5797019351	4.7293796091	2.76365787532685e-06	1.44792373942942e-05	3.4336658022
FHIT	0.476249935	6.4746159221	12.6057846395	9.44817281004653e-33	8.76712475424966e-31	63.4268682353
FHL1	-1.6451855566	10.3577717297	-7.0281154678	5.30316383199513e-12	8.26100695741959e-11	16.2250623192
FHL2	-0.3852959651	8.9112267499	-1.6290629015	0.0340868446	0.0003486608	-4.0488322814
FHL3	-0.3394531391	8.5754008254	-3.0381248478	0.0024759837	0.0061121198	-2.9710817976
FHL5	-0.0459829743	6.1660300451	-1.8893639395	0.0592878009	0.0958039213	-5.7703564274
