gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
C6orf89	-0.0355243523	7.4280710823	-1.2353365744	0.2170738595	0.2831666655	-6.6361096359
C6orf94	0.0093443775	6.343128965	0.6581578719	0.2460270097	0.0642289571	-6.1932687199
C6orf97	0.1116760665	6.4344062202	9.9535604516	4.59067600449784e-22	1.58844116020833e-20	39.1381377994
C7	0.2993323516	6.6372410717	3.063387792	0.002263045	0.0052114031	-2.7435261199
C7orf10	0.187475689	7.8373087709	2.2273878849	0.0262033905	0.0453636953	-4.929723953
C7orf11	0.020791888	7.5165047384	0.532524727	0.5622273935	0.2985876284	-7.0339247226
C7orf13	-0.0784631207	6.7408449999	-4.3838093168	1.32449817568437e-05	5.16917644486434e-05	2.0734998597
C7orf16	-0.012669048	6.1808186995	-1.1749573639	0.2403670895	0.3090518802	-6.7085649823
C7orf20	-0.0291038502	6.7870012225	-1.1465239363	0.0655481306	0.0029955931	-4.981899069
C7orf23	-0.2427604808	9.4623547095	-6.2474048341	6.82817542802842e-10	5.93488321018054e-09	11.6022192294
C7orf25	0.0519077101	8.0870596329	2.2915887348	0.0221926626	0.0391770378	-4.7859503315
C7orf26	-0.0982402393	8.4640708375	-3.9353198708	9.04324858687339e-05	0.0002929102	0.2527830508
C7orf27	-0.0597781739	9.3938217915	-1.9921160079	0.0467033819	0.0751233672	-5.4220840865
C7orf28A	-0.1011245528	7.4025823756	-4.4369392185	0.3615763421	6.05588751488786e-22	10.7251165086
C7orf28B	-0.144777155	7.9004479122	-3.1570712491	0.259815256	2.48898755169275e-07	-0.1738140893
C7orf29	0.0656893693	6.6671476126	4.3694577605	1.4123825348214e-05	5.47821626855132e-05	2.0123345868
C7orf30	0.0358763891	10.4496706858	1.599479646	0.1101153605	0.158316599	-6.12255742
C7orf31	0.0171192695	6.47259571	1.6325643666	0.1029606022	0.1494226806	-6.0693982971
C7orf33	-0.0097395392	6.126820022	-1.0935913536	0.2744688079	0.3461624147	-6.8004818846
C7orf34	0.017521272	6.3225894951	1.7030413587	0.0889551056	0.1316315623	-5.9525558183
C7orf36	0.0554533333	8.0282364095	1.8016631356	0.0719809741	0.1095310218	-5.7808271838
C7orf38	-0.0128830475	7.284433083	-0.5588411292	0.5764291004	0.6441625233	-7.2408079514
C7orf4	0.0023493786	6.3521313045	0.231266293	0.8171680347	0.854491309	-7.3698741397
C7orf40	0.1137475504	8.1667773473	3.3959953957	0.0007180827	0.0018696673	-1.6860107568
C7orf41	0.060037337	8.7503044642	0.8947044946	0.3712185797	0.4466785065	-6.9974753072
C7orf42	0.0987572096	8.2680155305	3.8522135453	0.0001265775	0.0003960766	-0.0639062761
C7orf43	-0.0322246172	6.8963034381	-1.7656831548	0.0778366732	0.1172178655	-5.8445895976
C7orf44	-0.2206571072	9.8737084912	-6.5138530189	1.30567173785689e-10	1.26524788368319e-09	13.2144603715
C7orf45	-0.0175929844	6.1710656187	-1.7856377102	0.0745428488	0.1129055348	-5.8093844333
C7orf46	-0.0003211661	6.2851512167	-0.0252261765	0.9798809517	0.9849686222	-7.3962331136
C7orf47	-0.1884697813	8.5725275697	-6.1381426632	1.32270235466987e-09	1.09697199145589e-08	10.9586996516
C7orf49	0.1084273062	7.731981845	3.7519196299	0.0001883722	0.000566544	-0.437420315
C7orf50	-0.0856121049	10.8587490943	-2.0042646342	0.0453838729	0.0732679007	-5.3979902763
C7orf51	-0.0484824604	6.530606065	-4.866643126	1.3715959980219e-06	6.60298140684666e-06	4.2419918749
C7orf52	-0.0275010151	6.2048882617	-2.716841733	0.006735538	0.0137087906	-3.7320916986
C7orf53	-0.1230711609	6.4089956896	-8.5253546848	7.73739151166986e-17	1.56306560516544e-15	27.2730699301
C7orf54	-0.2421949985	7.0219120237	-6.2989226796	4.98192601234704e-10	4.42795158993532e-09	11.909208521
C7orf55	0.0006966958	8.6544103054	0.0039612734	0.9091647248	0.9258437204	-7.3900457171
C7orf57	0.0742348992	6.4903867342	5.4127046447	8.24742752475493e-08	4.9965911931978e-07	6.9502877235
C7orf58	0.104524226	6.6535605245	4.9847515674	7.7754496693454e-06	1.75032450971373e-07	4.9887222505
C7orf59	-0.0566717354	10.0087922529	-1.2724632898	0.2035843183	0.267975334	-6.5897621215
C7orf60	-0.0136128303	6.1305828882	-1.4996074565	0.134117086	0.1878108424	-6.2764672555
C7orf61	-0.0941966122	6.6246951374	-2.5085757079	0.0123219066	0.0233210167	-4.2702208545
C7orf63	0.3526673786	6.7921523793	13.133898276	9.01592851463161e-36	9.81178155932179e-34	70.3703678564
C7orf64	0.0724011335	6.3995113698	3.5039527637	0.0004842946	0.0013135248	-1.320018943
C7orf65	-0.0883039246	6.4306559526	-6.1601443071	1.15874882647893e-09	9.71575817919874e-09	11.087454146
C7orf66	-0.0132323792	6.1383601368	-1.3811681731	0.1676192333	0.2273316297	-6.4462028389
C7orf68	-0.3610710727	8.7941277683	-5.1599613232	3.12933091927256e-07	1.71304391108208e-06	5.6633290214
C7orf69	-0.4825297884	6.5973199046	-8.9099530976	3.49745878348176e-18	8.17360097984299e-17	30.3220432328
C7orf70	-0.1050110316	7.8422758599	-4.3078198515	0.1245208412	7.55789889391633e-20	15.3955181829
C8A	0.0227692672	6.161906679	1.3701577539	0.171028333	0.2312115865	-6.4612764111
C8B	0.0763345313	6.4422641453	4.6230155484	4.41906356369385e-06	1.91290249451768e-05	3.1210244562
C8G	0.0078926473	6.4571129925	0.7524935059	0.4519793109	0.5265121429	-7.1142147894
C8orf12	-0.0419463216	6.4775259101	-3.7167756775	0.0002160695	0.0006399435	-0.5660546148
C8orf13	0.1090121868	7.1089512811	1.4617901916	0.1441978241	0.1998554042	-6.3321718779
C8orf15	0.0370311181	6.5086852541	3.1215425582	0.0018648097	0.004380842	-2.566281755
C8orf16	-0.0185337834	6.4918571779	-1.2224595429	0.2218998192	0.2885534639	-6.651865533
C8orf17	0.0467651701	6.4190725719	4.0842458605	4.87451267448223e-05	0.0001675971	0.8365248669
C8orf22	0.0090526598	6.3923535656	0.9000468256	0.3683706114	0.4436245785	-6.9926977443
C8orf30A	0.0189823497	6.4323385735	1.1531178722	0.0003984872	0.0001431943	-0.2471822945
C8orf30B	0.0504181942	6.5966547424	3.4347819422	0.0006240755	0.0016516704	-1.555797436
C8orf31	0.1496241486	6.5084504387	11.7244928038	2.25249282826992e-29	1.5508380287466e-27	55.7787509304
C8orf33	0.0500016084	8.4637769668	1.8271612409	0.248578428	0.0068116287	-5.0919813324
C8orf34	-0.0813221638	6.5679193952	-2.8133901414	0.0050244024	0.0105672391	-3.4683429504
C8orf37	0.0138646535	8.9507919886	1.1898920695	0.4824091895	0.0376037625	-6.0701141123
C8orf38	0.1387439996	7.3867866817	6.1179748756	1.49275613115413e-09	1.22680293771604e-08	10.8410445783
C8orf4	0.7588836516	6.5854855949	11.3125163053	1.34670414336496e-27	7.84293260114308e-26	51.7304002193
C8orf40	-0.1723073402	9.5019525857	-4.2200992033	2.72647678559664e-05	9.92556074152267e-05	1.3871364695
C8orf41	0.1420515839	8.2603260384	5.6195128848	2.65814335194983e-08	1.76652270516311e-07	8.0457771094
C8orf42	-0.0589892794	6.5811848849	-4.0197512247	6.38585206571876e-05	0.0002141053	0.5811724146
C8orf44	-0.21302398	6.6246159102	-12.714149703	8.12754061581573e-34	7.63164753132391e-32	65.90967813
C8orf45	-0.0704306169	8.4636444994	1.0031150822	0.0050836879	2.26804480596949e-05	-0.579253888
C8orf46	-0.0409261797	6.2295151847	-3.1164001831	0.0018972321	0.0044493161	-2.582085784
C8orf47	-0.0260100868	6.381473904	-1.3236951906	0.1534297347	0.0007519079	-3.8043696466
C8orf48	0.091974586	7.5026435797	4.9918234576	7.36776002036189e-07	3.74198848084733e-06	4.839037585
C8orf49	-0.016523614	6.269421713	-1.2718735687	0.4864200846	0.0190364655	-5.7300802376
C8orf51	-0.0224280616	6.5340169626	-1.8256436997	0.0682827162	0.1046678969	-5.7376213036
C8orf54	0.0055886104	6.4683400216	0.5132658856	0.607909373	0.6727942543	-7.265170618
C8orf55	0.4903771497	8.2562031871	7.1945924703	1.46135607771041e-12	1.85591043039366e-11	17.6053946381
C8orf58	-0.1297953828	7.3331327087	-4.7911859484	1.98164342241541e-06	9.24851783439745e-06	3.8889959135
C8orf59	0.0517242384	10.2032411139	1.0425899369	0.2974583627	0.3710256148	-6.8547451278
C8orf62	0.0210902652	6.2742196347	2.1596497836	0.0311011426	0.0526237037	-5.0770448411
C8orf71	0.0312578729	6.4101153768	2.6460305586	0.0083068433	0.0165216876	-3.9197863231
C8orf73	-0.0447964175	6.392955177	-4.1388849643	3.86638699898293e-05	0.0001361465	1.0559035116
C8orf74	0.0149012093	6.232708879	1.4069445463	0.4731498125	0.0086466826	-5.3285652591
C8orf76	-0.1017661838	9.5343321044	-4.7657830806	2.24043731572396e-06	1.03247238617385e-05	3.7713291135
C8orf77	-0.0291701826	6.6398732411	-2.2749599636	0.0231764912	0.0406852957	-4.823576298
C8orf78	0.0227376748	6.3980386596	1.8130736383	0.0702012536	0.1071817214	-5.7603394824
C8orf79	0.0076969356	6.4347788678	0.7529483885	0.562857371	0.1897398922	-6.8411602418
C8orf80	-0.0162816259	6.4437728374	-1.4253731778	0.1544457761	0.2119976881	-6.3844764967
C8orf81	0.0248965687	6.3238916382	2.6920910865	0.0072514054	0.0146338714	-3.7982498327
C8orf83	-0.1003045793	7.5350682772	-3.6871865637	0.0002423154	0.000709667	-0.6734507473
C8orf86	0.0336833272	6.5035532627	2.887797386	0.0039858667	0.0086111274	-3.2589221546
C8ORFK29	0.0057790054	6.5189509738	0.4734239096	0.03303451	0.0103283891	-4.5460301827
C8ORFK32	-0.0521999953	6.27014383	-4.4234681789	1.10799372070871e-05	4.39281888884354e-05	2.243515669
C8ORFK36	0.0003884069	6.271187919	-0.0412210215	0.6656201536	0.6978163026	-7.3023278239
C9	0.008736097	6.123569782	0.9076029068	0.364365839	0.4395413618	-6.9858919971
C9orf100	0.0333077642	6.4733500016	2.2026838673	0.0340647968	5.69469492173146e-08	-1.522643996
C9orf102	-0.1768477641	7.2835144367	-8.1503402129	1.4247169746797e-15	2.5108510235484e-14	24.40800844
C9orf103	0.2778488658	7.647076765	8.2814755104	5.20700328841914e-16	9.6785506617601e-15	25.3975859607
C9orf106	0.0490967085	6.5025986982	3.1380290967	0.2824457828	1.63252726273083e-10	4.0576770229
