gene,fake
ALDOB,Gene 552
ALDOC,Gene 553
ALG1,Gene 554
ALG10,Gene 555
ALG10B,Gene 556
ALG11,Gene 557
ALG12,Gene 558
ALG13,Gene 559
ALG14,Gene 560
ALG1L,Gene 561
ALG2,Gene 562
ALG3,Gene 563
ALG5,Gene 564
ALG6,Gene 565
ALG8,Gene 566
ALG9,Gene 567
ALK,Gene 568
ALKBH1,Gene 569
ALKBH2,Gene 570
ALKBH3,Gene 571
ALKBH4,Gene 572
ALKBH5,Gene 573
ALKBH6,Gene 574
ALKBH7,Gene 575
ALKBH8,Gene 576
ALLC,Gene 577
ALMS1,Gene 578
ALMS1P,Gene 579
ALOX12,Gene 580
ALOX12B,Gene 581
ALOX12P2,Gene 582
ALOX15,Gene 583
ALOX15B,Gene 584
ALOX5,Gene 585
ALOX5AP,Gene 586
ALOXE3,Gene 587
ALPI,Gene 588
ALPK1,Gene 589
ALPK2,Gene 590
ALPK3,Gene 591
ALPL,Gene 592
ALPP,Gene 593
ALPPL2,Gene 594
ALS2,Gene 595
ALS2CL,Gene 596
ALS2CR11,Gene 597
ALS2CR12,Gene 598
ALS2CR14,Gene 599
ALS2CR16,Gene 600
ALS2CR4,Gene 601
ALS2CR8,Gene 602
ALX1,Gene 603
ALX3,Gene 604
ALX4,Gene 605
AMAC1,Gene 606
AMAC1L1,Gene 607
AMAC1L2,Gene 608
AMAC1L3,Gene 609
AMACR,Gene 610
AMBN,Gene 611
AMBP,Gene 612
AMBRA1,Gene 613
AMD1,Gene 614
AMDHD1,Gene 615
AMDHD2,Gene 616
AMELX,Gene 617
AMELY,Gene 618
AMFR,Gene 619
AMH,Gene 620
AMHR2,Gene 621
AMICA1,Gene 622
AMIGO1,Gene 623
AMIGO2,Gene 624
AMIGO3,Gene 625
AMMECR1,Gene 626
AMMECR1L,Gene 627
AMN,Gene 628
AMN1,Gene 629
AMOT,Gene 630
AMOTL1,Gene 631
AMOTL2,Gene 632
AMPD1,Gene 633
AMPD2,Gene 634
AMPD3,Gene 635
AMPH,Gene 636
AMT,Gene 637
AMTN,Gene 638
AMY1A,Gene 639
AMY1B,Gene 640
AMY1C,Gene 641
AMY2A,Gene 642
AMY2B,Gene 643
AMZ1,Gene 644
AMZ2,Gene 645
ANAPC1,Gene 646
