gene,fake
SDR16C5,Gene 26449
SDR39U1,Gene 26450
SDR42E1,Gene 26451
SDR9C7,Gene 26452
SDS,Gene 26453
SDSL,Gene 26454
SEBOX,Gene 26455
SEC1,Gene 26456
SEC11A,Gene 26457
SEC11B,Gene 26458
SEC11C,Gene 26459
SEC13,Gene 26460
SEC14L1,Gene 26461
SEC14L2,Gene 26462
SEC14L3,Gene 26463
SEC14L4,Gene 26464
SEC14L5,Gene 26465
SEC15L2,Gene 26466
SEC16A,Gene 26467
SEC16B,Gene 26468
SEC22A,Gene 26469
SEC22B,Gene 26470
SEC22C,Gene 26471
SEC23A,Gene 26472
SEC23B,Gene 26473
SEC23IP,Gene 26474
SEC24A,Gene 26475
SEC24B,Gene 26476
SEC24C,Gene 26477
SEC24D,Gene 26478
SEC31A,Gene 26479
SEC31B,Gene 26480
SEC61A1,Gene 26481
SEC61A2,Gene 26482
SEC61B,Gene 26483
SEC61G,Gene 26484
SEC62,Gene 26485
SEC63,Gene 26486
SECISBP2,Gene 26487
SECISBP2L,Gene 26488
SECTM1,Gene 26489
SEH1L,Gene 26490
SEL1L,Gene 26491
SEL1L2,Gene 26492
SEL1L3,Gene 26493
SELE,Gene 26494
SELENBP1,Gene 26495
SELI,Gene 26496
SELK,Gene 26497
SELL,Gene 26498
SELM,Gene 26499
SELO,Gene 26500
SELP,Gene 26501
SELPLG,Gene 26502
SELS,Gene 26503
SELT,Gene 26504
SELV,Gene 26505
SEMA3A,Gene 26506
SEMA3B,Gene 26507
SEMA3C,Gene 26508
SEMA3D,Gene 26509
SEMA3E,Gene 26510
SEMA3F,Gene 26511
SEMA3G,Gene 26512
SEMA4A,Gene 26513
SEMA4B,Gene 26514
SEMA4C,Gene 26515
SEMA4D,Gene 26516
SEMA4F,Gene 26517
SEMA4G,Gene 26518
SEMA5A,Gene 26519
SEMA5B,Gene 26520
SEMA6A,Gene 26521
SEMA6B,Gene 26522
SEMA6C,Gene 26523
SEMA6D,Gene 26524
SEMA7A,Gene 26525
SEMG1,Gene 26526
SEMG2,Gene 26527
SENP1,Gene 26528
SENP2,Gene 26529
SENP3,Gene 26530
SENP5,Gene 26531
SENP6,Gene 26532
SENP7,Gene 26533
SENP8,Gene 26534
SEPHS1,Gene 26535
SEPHS2,Gene 26536
SEPN1,Gene 26537
SEPP1,Gene 26538
SEPSECS,Gene 26539
SEPW1,Gene 26540
SEPX1,Gene 26541
SERAC1,Gene 26542
SERBP1,Gene 26543
SERF1A,Gene 26544
SERF1B,Gene 26545
SERF2,Gene 26546
SERGEF,Gene 26547
SERHL,Gene 26548
SERHL2,Gene 26549
SERINC1,Gene 26550
SERINC2,Gene 26551
SERINC3,Gene 26552
SERINC4,Gene 26553
SERINC5,Gene 26554
SERP1,Gene 26555
SERP2,Gene 26556
SERPINA1,Gene 26557
SERPINA10,Gene 26558
SERPINA11,Gene 26559
SERPINA12,Gene 26560
SERPINA13,Gene 26561
SERPINA2,Gene 26562
SERPINA3,Gene 26563
SERPINA4,Gene 26564
SERPINA5,Gene 26565
SERPINA6,Gene 26566
SERPINA7,Gene 26567
SERPINA9,Gene 26568
SERPINB1,Gene 26569
SERPINB10,Gene 26570
SERPINB11,Gene 26571
SERPINB12,Gene 26572
SERPINB13,Gene 26573
SERPINB2,Gene 26574
SERPINB3,Gene 26575
SERPINB4,Gene 26576
SERPINB5,Gene 26577
SERPINB6,Gene 26578
SERPINB7,Gene 26579
SERPINB8,Gene 26580
SERPINB9,Gene 26581
SERPINC1,Gene 26582
SERPIND1,Gene 26583
SERPINE1,Gene 26584
SERPINE2,Gene 26585
SERPINE3,Gene 26586
SERPINF1,Gene 26587
SERPINF2,Gene 26588
SERPING1,Gene 26589
SERPINH1,Gene 26590
SERPINI1,Gene 26591
SERPINI2,Gene 26592
SERTAD1,Gene 26593
SERTAD2,Gene 26594
SERTAD3,Gene 26595
SERTAD4,Gene 26596
SESN1,Gene 26597
SESN2,Gene 26598
SESN3,Gene 26599
SESTD1,Gene 26600
SET,Gene 26601
SETBP1,Gene 26602
SETD1A,Gene 26603
SETD1B,Gene 26604
SETD2,Gene 26605
SETD3,Gene 26606
SETD4,Gene 26607
SETD5,Gene 26608
SETD6,Gene 26609
SETD7,Gene 26610
SETD8,Gene 26611
SETDB1,Gene 26612
SETDB2,Gene 26613
SETMAR,Gene 26614
SETX,Gene 26615
SEZ6,Gene 26616
SEZ6L,Gene 26617
SEZ6L2,Gene 26618
SF1,Gene 26619
SF3A1,Gene 26620
SF3A2,Gene 26621
SF3A3,Gene 26622
SF3B1,Gene 26623
SF3B14,Gene 26624
SF3B2,Gene 26625
SF3B3,Gene 26626
SF3B4,Gene 26627
SF3B5,Gene 26628
SF4,Gene 26629
SFI1,Gene 26630
SFMBT1,Gene 26631
SFMBT2,Gene 26632
SFN,Gene 26633
SFPQ,Gene 26634
SFRP1,Gene 26635
SFRP2,Gene 26636
SFRP4,Gene 26637
SFRP5,Gene 26638
SFRS1,Gene 26639
SFRS10,Gene 26640
SFRS11,Gene 26641
SFRS12,Gene 26642
SFRS12IP1,Gene 26643
SFRS13A,Gene 26644
SFRS13B,Gene 26645
SFRS14,Gene 26646
SFRS15,Gene 26647
SFRS16,Gene 26648
SFRS17A,Gene 26649
SFRS18,Gene 26650
SFRS2,Gene 26651
SFRS2B,Gene 26652
SFRS2IP,Gene 26653
SFRS3,Gene 26654
SFRS4,Gene 26655
SFRS5,Gene 26656
SFRS6,Gene 26657
SFRS7,Gene 26658
SFRS8,Gene 26659
SFRS9,Gene 26660
SFT2D1,Gene 26661
SFT2D2,Gene 26662
SFT2D3,Gene 26663
SFTA1P,Gene 26664
SFTA2,Gene 26665
SFTA3,Gene 26666
SFTPA1,Gene 26667
SFTPA1B,Gene 26668
SFTPA2,Gene 26669
SFTPA2B,Gene 26670
SFTPB,Gene 26671
SFTPC,Gene 26672
SFTPD,Gene 26673
SFXN1,Gene 26674
SFXN2,Gene 26675
SFXN3,Gene 26676
SFXN4,Gene 26677
SFXN5,Gene 26678
SGCA,Gene 26679
SGCB,Gene 26680
SGCD,Gene 26681
SGCE,Gene 26682
SGCG,Gene 26683
SGCZ,Gene 26684
SGEF,Gene 26685
SGIP1,Gene 26686
SGK,Gene 26687
SGK1,Gene 26688
SGK196,Gene 26689
SGK2,Gene 26690
SGK269,Gene 26691
SGK3,Gene 26692
SGMS1,Gene 26693
SGMS2,Gene 26694
SGOL1,Gene 26695
SGOL2,Gene 26696
SGPL1,Gene 26697
SGPP1,Gene 26698
SGPP2,Gene 26699
SGSH,Gene 26700
SGSM1,Gene 26701
SGSM2,Gene 26702
SGSM3,Gene 26703
SGTA,Gene 26704
SGTB,Gene 26705
SH2B1,Gene 26706
SH2B2,Gene 26707
SH2B3,Gene 26708
SH2D1A,Gene 26709
SH2D1B,Gene 26710
SH2D2A,Gene 26711
SH2D3A,Gene 26712
SH2D3C,Gene 26713
SH2D4A,Gene 26714
SH2D4B,Gene 26715
SH2D5,Gene 26716
SH2D6,Gene 26717
SH2D7,Gene 26718
SH3BGR,Gene 26719
SH3BGRL,Gene 26720
SH3BGRL2,Gene 26721
SH3BGRL3,Gene 26722
SH3BP1,Gene 26723
SH3BP2,Gene 26724
SH3BP4,Gene 26725
SH3BP5,Gene 26726
SH3BP5L,Gene 26727
SH3D19,Gene 26728
SH3GL1,Gene 26729
SH3GL2,Gene 26730
SH3GL3,Gene 26731
SH3GLB1,Gene 26732
SH3GLB2,Gene 26733
SH3KBP1,Gene 26734
SH3MD4,Gene 26735
SH3PXD2A,Gene 26736
SH3PXD2B,Gene 26737
SH3RF1,Gene 26738
SH3RF2,Gene 26739
SH3RF3,Gene 26740
SH3TC1,Gene 26741
SH3TC2,Gene 26742
SH3YL1,Gene 26743
SHANK1,Gene 26744
SHANK2,Gene 26745
SHANK3,Gene 26746
SHARPIN,Gene 26747
SHB,Gene 26748
SHBG,Gene 26749
SHC1,Gene 26750
SHC2,Gene 26751
SHC3,Gene 26752
SHC4,Gene 26753
SHCBP1,Gene 26754
SHD,Gene 26755
SHE,Gene 26756
SHF,Gene 26757
SHFM1,Gene 26758
SHH,Gene 26759
SHISA2,Gene 26760
SHISA3,Gene 26761
SHISA4,Gene 26762
SHISA5,Gene 26763
SHKBP1,Gene 26764
SHMT1,Gene 26765
SHMT2,Gene 26766
SHOC2,Gene 26767
SHOX,Gene 26768
SHOX2,Gene 26769
SHPK,Gene 26770
SHPRH,Gene 26771
SHQ1,Gene 26772
SHRM,Gene 26773
SHROOM1,Gene 26774
SHROOM2,Gene 26775
SHROOM3,Gene 26776
SHROOM4,Gene 26777
SI,Gene 26778
SIAE,Gene 26779
SIAH1,Gene 26780
SIAH2,Gene 26781
SIAH3,Gene 26782
SIDT1,Gene 26783
SIDT2,Gene 26784
SIGIRR,Gene 26785
SIGLEC1,Gene 26786
SIGLEC10,Gene 26787
SIGLEC11,Gene 26788
SIGLEC12,Gene 26789
SIGLEC14,Gene 26790
SIGLEC15,Gene 26791
SIGLEC16,Gene 26792
SIGLEC5,Gene 26793
SIGLEC6,Gene 26794
SIGLEC7,Gene 26795
SIGLEC8,Gene 26796
SIGLEC9,Gene 26797
SIGLECP3,Gene 26798
SIGMAR1,Gene 26799
SIK1,Gene 26800
SIK2,Gene 26801
SIK3,Gene 26802
SIKE,Gene 26803
SIL1,Gene 26804
SILV,Gene 26805
SIM1,Gene 26806
SIM2,Gene 26807
SIN3A,Gene 26808
SIN3B,Gene 26809
SIP1,Gene 26810
SIPA1,Gene 26811
SIPA1L1,Gene 26812
SIPA1L2,Gene 26813
SIPA1L3,Gene 26814
SIRPA,Gene 26815
SIRPB1,Gene 26816
SIRPB2,Gene 26817
SIRPD,Gene 26818
SIRPG,Gene 26819
SIRT1,Gene 26820
SIRT2,Gene 26821
SIRT3,Gene 26822
SIRT4,Gene 26823
SIRT5,Gene 26824
SIRT6,Gene 26825
SIRT7,Gene 26826
SIT1,Gene 26827
SIVA,Gene 26828
SIVA1,Gene 26829
SIX1,Gene 26830
SIX2,Gene 26831
SIX3,Gene 26832
SIX4,Gene 26833
SIX5,Gene 26834
SIX6,Gene 26835
SKA1,Gene 26836
SKA2,Gene 26837
SKAP1,Gene 26838
SKAP2,Gene 26839
SKCG-1,Gene 26840
SKI,Gene 26841
SKIL,Gene 26842
SKIP,Gene 26843
SKIV2L,Gene 26844
SKIV2L2,Gene 26845
SKP1,Gene 26846
SKP1A,Gene 26847
SKP2,Gene 26848
SLA,Gene 26849
SLA2,Gene 26850
SLAIN1,Gene 26851
SLAIN2,Gene 26852
SLAMF1,Gene 26853
SLAMF6,Gene 26854
SLAMF7,Gene 26855
SLAMF8,Gene 26856
SLAMF9,Gene 26857
SLBP,Gene 26858
SLC10A1,Gene 26859
SLC10A2,Gene 26860
SLC10A3,Gene 26861
SLC10A4,Gene 26862
SLC10A5,Gene 26863
SLC10A6,Gene 26864
SLC10A7,Gene 26865
SLC11A1,Gene 26866
SLC11A2,Gene 26867
SLC12A1,Gene 26868
SLC12A2,Gene 26869
SLC12A3,Gene 26870
SLC12A4,Gene 26871
SLC12A5,Gene 26872
SLC12A6,Gene 26873
SLC12A7,Gene 26874
SLC12A8,Gene 26875
SLC12A9,Gene 26876
SLC13A1,Gene 26877
SLC13A2,Gene 26878
SLC13A3,Gene 26879
SLC13A4,Gene 26880
SLC13A5,Gene 26881
SLC14A1,Gene 26882
SLC14A2,Gene 26883
SLC15A1,Gene 26884
SLC15A2,Gene 26885
SLC15A3,Gene 26886
SLC15A4,Gene 26887
SLC16A1,Gene 26888
SLC16A10,Gene 26889
SLC16A11,Gene 26890
SLC16A12,Gene 26891
SLC16A13,Gene 26892
SLC16A14,Gene 26893
SLC16A2,Gene 26894
SLC16A3,Gene 26895
SLC16A4,Gene 26896
SLC16A5,Gene 26897
SLC16A6,Gene 26898
SLC16A7,Gene 26899
SLC16A8,Gene 26900
SLC16A9,Gene 26901
SLC17A1,Gene 26902
SLC17A2,Gene 26903
SLC17A3,Gene 26904
SLC17A4,Gene 26905
SLC17A5,Gene 26906
SLC17A6,Gene 26907
SLC17A7,Gene 26908
SLC17A8,Gene 26909
SLC17A9,Gene 26910
SLC18A1,Gene 26911
SLC18A2,Gene 26912
SLC18A3,Gene 26913
SLC19A1,Gene 26914
SLC19A2,Gene 26915
SLC19A3,Gene 26916
SLC1A1,Gene 26917
SLC1A2,Gene 26918
SLC1A3,Gene 26919
SLC1A4,Gene 26920
SLC1A5,Gene 26921
SLC1A6,Gene 26922
SLC1A7,Gene 26923
SLC20A1,Gene 26924
SLC20A2,Gene 26925
SLC22A1,Gene 26926
SLC22A10,Gene 26927
SLC22A11,Gene 26928
SLC22A12,Gene 26929
SLC22A13,Gene 26930
SLC22A14,Gene 26931
SLC22A15,Gene 26932
SLC22A16,Gene 26933
SLC22A17,Gene 26934
SLC22A18,Gene 26935
SLC22A18AS,Gene 26936
SLC22A2,Gene 26937
SLC22A20,Gene 26938
SLC22A23,Gene 26939
SLC22A24,Gene 26940
SLC22A25,Gene 26941
SLC22A3,Gene 26942
SLC22A4,Gene 26943
SLC22A5,Gene 26944
SLC22A6,Gene 26945
SLC22A7,Gene 26946
SLC22A8,Gene 26947
SLC22A9,Gene 26948
SLC23A1,Gene 26949
SLC23A2,Gene 26950
SLC23A3,Gene 26951
SLC24A1,Gene 26952
SLC24A2,Gene 26953
SLC24A3,Gene 26954
SLC24A4,Gene 26955
SLC24A5,Gene 26956
SLC24A6,Gene 26957
SLC25A1,Gene 26958
SLC25A10,Gene 26959
SLC25A11,Gene 26960
SLC25A12,Gene 26961
SLC25A13,Gene 26962
SLC25A14,Gene 26963
SLC25A15,Gene 26964
SLC25A16,Gene 26965
SLC25A17,Gene 26966
SLC25A18,Gene 26967
SLC25A19,Gene 26968
SLC25A2,Gene 26969
SLC25A20,Gene 26970
SLC25A21,Gene 26971
SLC25A22,Gene 26972
SLC25A23,Gene 26973
SLC25A24,Gene 26974
SLC25A25,Gene 26975
SLC25A26,Gene 26976
SLC25A27,Gene 26977
SLC25A28,Gene 26978
SLC25A29,Gene 26979
SLC25A3,Gene 26980
SLC25A30,Gene 26981
SLC25A31,Gene 26982
SLC25A32,Gene 26983
SLC25A33,Gene 26984
SLC25A34,Gene 26985
SLC25A35,Gene 26986
SLC25A36,Gene 26987
SLC25A37,Gene 26988
SLC25A38,Gene 26989
SLC25A39,Gene 26990
SLC25A4,Gene 26991
SLC25A40,Gene 26992
SLC25A41,Gene 26993
SLC25A42,Gene 26994
SLC25A43,Gene 26995
SLC25A44,Gene 26996
SLC25A45,Gene 26997
SLC25A46,Gene 26998
SLC25A5,Gene 26999
SLC25A6,Gene 27000
SLC26A1,Gene 27001
SLC26A10,Gene 27002
SLC26A11,Gene 27003
SLC26A2,Gene 27004
SLC26A3,Gene 27005
SLC26A4,Gene 27006
SLC26A5,Gene 27007
SLC26A6,Gene 27008
SLC26A7,Gene 27009
SLC26A8,Gene 27010
SLC26A9,Gene 27011
SLC27A1,Gene 27012
SLC27A2,Gene 27013
SLC27A3,Gene 27014
SLC27A4,Gene 27015
SLC27A5,Gene 27016
SLC27A6,Gene 27017
SLC28A1,Gene 27018
SLC28A2,Gene 27019
SLC28A3,Gene 27020
SLC29A1,Gene 27021
SLC29A2,Gene 27022
SLC29A3,Gene 27023
SLC29A4,Gene 27024
SLC2A1,Gene 27025
SLC2A10,Gene 27026
SLC2A11,Gene 27027
SLC2A12,Gene 27028
SLC2A13,Gene 27029
SLC2A14,Gene 27030
SLC2A2,Gene 27031
SLC2A3,Gene 27032
SLC2A4,Gene 27033
SLC2A4RG,Gene 27034
SLC2A5,Gene 27035
SLC2A6,Gene 27036
SLC2A7,Gene 27037
SLC2A8,Gene 27038
SLC2A9,Gene 27039
SLC30A1,Gene 27040
SLC30A10,Gene 27041
SLC30A2,Gene 27042
SLC30A3,Gene 27043
SLC30A4,Gene 27044
SLC30A5,Gene 27045
SLC30A6,Gene 27046
SLC30A7,Gene 27047
SLC30A8,Gene 27048
SLC30A9,Gene 27049
SLC31A1,Gene 27050
SLC31A2,Gene 27051
SLC32A1,Gene 27052
SLC33A1,Gene 27053
SLC34A1,Gene 27054
SLC34A2,Gene 27055
SLC34A3,Gene 27056
SLC35A1,Gene 27057
SLC35A2,Gene 27058
SLC35A3,Gene 27059
SLC35A4,Gene 27060
SLC35A5,Gene 27061
SLC35B1,Gene 27062
SLC35B2,Gene 27063
SLC35B3,Gene 27064
SLC35B4,Gene 27065
SLC35C1,Gene 27066
SLC35C2,Gene 27067
SLC35D1,Gene 27068
SLC35D2,Gene 27069
SLC35D3,Gene 27070
SLC35E1,Gene 27071
SLC35E2,Gene 27072
SLC35E3,Gene 27073
SLC35E4,Gene 27074
SLC35F1,Gene 27075
SLC35F2,Gene 27076
SLC35F3,Gene 27077
SLC35F4,Gene 27078
SLC35F5,Gene 27079
SLC36A1,Gene 27080
SLC36A2,Gene 27081
SLC36A3,Gene 27082
SLC36A4,Gene 27083
SLC37A1,Gene 27084
SLC37A2,Gene 27085
SLC37A3,Gene 27086
SLC37A4,Gene 27087
SLC38A1,Gene 27088
SLC38A10,Gene 27089
SLC38A11,Gene 27090
SLC38A2,Gene 27091
SLC38A3,Gene 27092
SLC38A4,Gene 27093
SLC38A5,Gene 27094
SLC38A6,Gene 27095
SLC38A7,Gene 27096
SLC38A8,Gene 27097
SLC38A9,Gene 27098
SLC39A1,Gene 27099
SLC39A10,Gene 27100
SLC39A11,Gene 27101
SLC39A12,Gene 27102
SLC39A13,Gene 27103
SLC39A14,Gene 27104
SLC39A2,Gene 27105
SLC39A3,Gene 27106
SLC39A4,Gene 27107
SLC39A5,Gene 27108
SLC39A6,Gene 27109
SLC39A7,Gene 27110
SLC39A8,Gene 27111
SLC39A9,Gene 27112
SLC3A1,Gene 27113
SLC3A2,Gene 27114
SLC40A1,Gene 27115
SLC41A1,Gene 27116
SLC41A2,Gene 27117
SLC41A3,Gene 27118
SLC43A1,Gene 27119
SLC43A2,Gene 27120
SLC43A3,Gene 27121
SLC44A1,Gene 27122
SLC44A2,Gene 27123
SLC44A3,Gene 27124
SLC44A4,Gene 27125
SLC44A5,Gene 27126
SLC45A1,Gene 27127
SLC45A2,Gene 27128
SLC45A3,Gene 27129
SLC45A4,Gene 27130
SLC46A1,Gene 27131
SLC46A2,Gene 27132
SLC46A3,Gene 27133
SLC47A1,Gene 27134
SLC47A2,Gene 27135
SLC48A1,Gene 27136
SLC4A1,Gene 27137
SLC4A10,Gene 27138
SLC4A11,Gene 27139
SLC4A1AP,Gene 27140
SLC4A2,Gene 27141
SLC4A3,Gene 27142
SLC4A4,Gene 27143
SLC4A5,Gene 27144
SLC4A7,Gene 27145
SLC4A8,Gene 27146
SLC4A9,Gene 27147
SLC5A1,Gene 27148
SLC5A10,Gene 27149
SLC5A11,Gene 27150
SLC5A12,Gene 27151
SLC5A2,Gene 27152
SLC5A3,Gene 27153
SLC5A4,Gene 27154
SLC5A5,Gene 27155
SLC5A6,Gene 27156
SLC5A7,Gene 27157
SLC5A8,Gene 27158
SLC5A9,Gene 27159
SLC6A1,Gene 27160
SLC6A10P,Gene 27161
SLC6A11,Gene 27162
SLC6A12,Gene 27163
SLC6A13,Gene 27164
SLC6A14,Gene 27165
SLC6A15,Gene 27166
SLC6A16,Gene 27167
SLC6A17,Gene 27168
SLC6A18,Gene 27169
SLC6A19,Gene 27170
SLC6A2,Gene 27171
SLC6A20,Gene 27172
SLC6A3,Gene 27173
SLC6A4,Gene 27174
SLC6A5,Gene 27175
SLC6A6,Gene 27176
SLC6A7,Gene 27177
SLC6A8,Gene 27178
SLC6A9,Gene 27179
SLC7A1,Gene 27180
SLC7A10,Gene 27181
SLC7A11,Gene 27182
SLC7A13,Gene 27183
SLC7A14,Gene 27184
SLC7A2,Gene 27185
SLC7A3,Gene 27186
SLC7A4,Gene 27187
SLC7A5,Gene 27188
SLC7A5P1,Gene 27189
SLC7A6,Gene 27190
SLC7A6OS,Gene 27191
SLC7A7,Gene 27192
SLC7A8,Gene 27193
SLC7A9,Gene 27194
SLC8A1,Gene 27195
SLC8A2,Gene 27196
SLC8A3,Gene 27197
SLC9A1,Gene 27198
SLC9A10,Gene 27199
SLC9A11,Gene 27200
SLC9A2,Gene 27201
SLC9A3,Gene 27202
SLC9A3R1,Gene 27203
SLC9A3R2,Gene 27204
SLC9A4,Gene 27205
SLC9A5,Gene 27206
SLC9A6,Gene 27207
SLC9A7,Gene 27208
SLC9A8,Gene 27209
SLC9A9,Gene 27210
SLCO1A2,Gene 27211
SLCO1B1,Gene 27212
SLCO1B3,Gene 27213
SLCO1C1,Gene 27214
SLCO2A1,Gene 27215
SLCO2B1,Gene 27216
SLCO3A1,Gene 27217
SLCO4A1,Gene 27218
SLCO4C1,Gene 27219
SLCO5A1,Gene 27220
SLCO6A1,Gene 27221
SLED1,Gene 27222
SLFN11,Gene 27223
SLFN12,Gene 27224
SLFN12L,Gene 27225
SLFN13,Gene 27226
SLFN14,Gene 27227
SLFN5,Gene 27228
SLFNL1,Gene 27229
SLIC1,Gene 27230
SLIT1,Gene 27231
SLIT2,Gene 27232
SLIT3,Gene 27233
SLITRK1,Gene 27234
SLITRK2,Gene 27235
SLITRK3,Gene 27236
SLITRK4,Gene 27237
SLITRK5,Gene 27238
SLITRK6,Gene 27239
SLK,Gene 27240
SLMAP,Gene 27241
SLMO1,Gene 27242
SLMO2,Gene 27243
SLN,Gene 27244
SLPI,Gene 27245
SLTM,Gene 27246
SLU7,Gene 27247
SLURP1,Gene 27248
SMA3,Gene 27249
SMA4,Gene 27250
SMA5,Gene 27251
SMAD1,Gene 27252
SMAD2,Gene 27253
SMAD3,Gene 27254
SMAD4,Gene 27255
SMAD5,Gene 27256
SMAD5OS,Gene 27257
SMAD6,Gene 27258
SMAD7,Gene 27259
SMAD9,Gene 27260
SMAGP,Gene 27261
SMAP1,Gene 27262
SMAP2,Gene 27263
SMARCA1,Gene 27264
SMARCA2,Gene 27265
SMARCA4,Gene 27266
SMARCA5,Gene 27267
SMARCAD1,Gene 27268
SMARCAL1,Gene 27269
SMARCB1,Gene 27270
SMARCC1,Gene 27271
SMARCC2,Gene 27272
SMARCD1,Gene 27273
SMARCD2,Gene 27274
SMARCD3,Gene 27275
SMARCE1,Gene 27276
SMC1A,Gene 27277
SMC1B,Gene 27278
SMC2,Gene 27279
SMC3,Gene 27280
SMC4,Gene 27281
SMC5,Gene 27282
SMC6,Gene 27283
SMCHD1,Gene 27284
SMCP,Gene 27285
SMCR5,Gene 27286
SMCR7,Gene 27287
SMCR7L,Gene 27288
SMCR8,Gene 27289
SMEK1,Gene 27290
SMEK2,Gene 27291
SMEK3P,Gene 27292
SMG1,Gene 27293
SMG5,Gene 27294
SMG6,Gene 27295
SMG7,Gene 27296
SMN1,Gene 27297
SMN2,Gene 27298
SMNDC1,Gene 27299
SMO,Gene 27300
SMOC1,Gene 27301
SMOC2,Gene 27302
SMOX,Gene 27303
SMPD1,Gene 27304
SMPD2,Gene 27305
SMPD3,Gene 27306
SMPD4,Gene 27307
SMPDL3A,Gene 27308
SMPDL3B,Gene 27309
SMPX,Gene 27310
SMR3A,Gene 27311
SMR3B,Gene 27312
SMS,Gene 27313
SMTN,Gene 27314
SMTNL1,Gene 27315
SMTNL2,Gene 27316
SMU1,Gene 27317
SMUG1,Gene 27318
SMURF1,Gene 27319
SMURF2,Gene 27320
SMYD1,Gene 27321
SMYD2,Gene 27322
SMYD3,Gene 27323
SMYD4,Gene 27324
SMYD5,Gene 27325
SNAG1,Gene 27326
SNAI1,Gene 27327
SNAI2,Gene 27328
SNAI3,Gene 27329
SNAP23,Gene 27330
SNAP25,Gene 27331
SNAP29,Gene 27332
SNAP47,Gene 27333
SNAP91,Gene 27334
SNAPC1,Gene 27335
SNAPC2,Gene 27336
SNAPC3,Gene 27337
SNAPC4,Gene 27338
SNAPC5,Gene 27339
SNAPIN,Gene 27340
SNAR-I,Gene 27341
SNCA,Gene 27342
SNCAIP,Gene 27343
SNCB,Gene 27344
SNCG,Gene 27345
SND1,Gene 27346
SNED1,Gene 27347
SNF8,Gene 27348
SNHG1,Gene 27349
SNHG10,Gene 27350
SNHG11,Gene 27351
SNHG12,Gene 27352
SNHG3,Gene 27353
SNHG3-RCC1,Gene 27354
SNHG4,Gene 27355
SNHG5,Gene 27356
SNHG6,Gene 27357
SNHG7,Gene 27358
SNHG8,Gene 27359
SNHG9,Gene 27360
SNIP,Gene 27361
SNIP1,Gene 27362
SNN,Gene 27363
SNORA1,Gene 27364
SNORA10,Gene 27365
SNORA11,Gene 27366
SNORA11B,Gene 27367
SNORA11C,Gene 27368
SNORA11D,Gene 27369
SNORA11E,Gene 27370
SNORA12,Gene 27371
SNORA13,Gene 27372
SNORA14A,Gene 27373
SNORA14B,Gene 27374
SNORA15,Gene 27375
SNORA16A,Gene 27376
SNORA16B,Gene 27377
SNORA17,Gene 27378
SNORA18,Gene 27379
SNORA19,Gene 27380
SNORA20,Gene 27381
SNORA21,Gene 27382
SNORA22,Gene 27383
SNORA23,Gene 27384
SNORA24,Gene 27385
SNORA25,Gene 27386
SNORA26,Gene 27387
SNORA27,Gene 27388
SNORA28,Gene 27389
SNORA29,Gene 27390
SNORA2A,Gene 27391
SNORA2B,Gene 27392
SNORA3,Gene 27393
SNORA30,Gene 27394
SNORA31,Gene 27395
SNORA32,Gene 27396
SNORA33,Gene 27397
SNORA34,Gene 27398
SNORA35,Gene 27399
SNORA36A,Gene 27400
SNORA36B,Gene 27401
SNORA36C,Gene 27402
SNORA37,Gene 27403
SNORA38,Gene 27404
SNORA38B,Gene 27405
SNORA39,Gene 27406
SNORA4,Gene 27407
SNORA40,Gene 27408
SNORA41,Gene 27409
SNORA42,Gene 27410
SNORA43,Gene 27411
SNORA45,Gene 27412
SNORA46,Gene 27413
SNORA47,Gene 27414
SNORA48,Gene 27415
SNORA49,Gene 27416
SNORA50,Gene 27417
SNORA51,Gene 27418
SNORA52,Gene 27419
SNORA53,Gene 27420
SNORA54,Gene 27421
SNORA55,Gene 27422
SNORA56,Gene 27423
SNORA57,Gene 27424
SNORA58,Gene 27425
SNORA59A,Gene 27426
SNORA59B,Gene 27427
SNORA5A,Gene 27428
SNORA5B,Gene 27429
SNORA5C,Gene 27430
SNORA6,Gene 27431
SNORA60,Gene 27432
SNORA61,Gene 27433
SNORA62,Gene 27434
SNORA63,Gene 27435
SNORA64,Gene 27436
SNORA65,Gene 27437
SNORA66,Gene 27438
SNORA67,Gene 27439
SNORA68,Gene 27440
SNORA69,Gene 27441
SNORA70,Gene 27442
SNORA70B,Gene 27443
SNORA70C,Gene 27444
SNORA71A,Gene 27445
SNORA71B,Gene 27446
SNORA71C,Gene 27447
SNORA71D,Gene 27448
SNORA72,Gene 27449
SNORA73A,Gene 27450
SNORA73B,Gene 27451
SNORA74A,Gene 27452
SNORA74B,Gene 27453
SNORA75,Gene 27454
SNORA76,Gene 27455
SNORA77,Gene 27456
SNORA78,Gene 27457
SNORA79,Gene 27458
SNORA7A,Gene 27459
SNORA7B,Gene 27460
SNORA8,Gene 27461
SNORA80,Gene 27462
SNORA81,Gene 27463
SNORA84,Gene 27464
SNORA9,Gene 27465
SNORD10,Gene 27466
SNORD100,Gene 27467
SNORD101,Gene 27468
SNORD102,Gene 27469
SNORD103A,Gene 27470
SNORD104,Gene 27471
SNORD105,Gene 27472
SNORD107,Gene 27473
SNORD108,Gene 27474
SNORD109A,Gene 27475
SNORD109B,Gene 27476
SNORD11,Gene 27477
SNORD110,Gene 27478
SNORD111,Gene 27479
SNORD111B,Gene 27480
SNORD112,Gene 27481
SNORD113-1,Gene 27482
SNORD113-2,Gene 27483
SNORD113-3,Gene 27484
