gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
TTC3	-1.3096270243	9.0053446215	-7.4129225029	0.4011712817	1.25780671552445e-39	38.0353545978
TTC30A	-0.0454461653	6.7882232552	-0.7192776913	0.4722352259	0.6956662889	-7.4957221745
TTC30B	-0.0476006836	6.6122430418	-0.7515285048	0.4526139024	0.6799213519	-7.4720304829
TTC31	0.0786218994	8.194395944	0.6889221804	0.491124606	0.7105840665	-7.5170738889
TTC32	0.0105664932	7.517725068	-0.3503374657	0.0156575814	0.0172469091	-4.4384346294
TTC33	-0.1934024655	6.8138382166	-1.4542590463	0.1463700223	0.3343587988	-6.6988077522
TTC34	0.0226758191	6.309664633	0.4815893601	0.6302640911	0.8106092445	-7.6383213542
TTC35	-0.2298542562	7.0685847792	-1.6638269348	0.0966418333	0.2484617293	-6.3734134742
TTC36	-0.0335770164	6.2812224284	-0.728066811	0.4668418532	0.6913455455	-7.4893684386
TTC37	-0.9559723135	9.9292377184	-8.9150590241	5.17447079730377e-18	1.5606349312098e-16	29.6689482304
TTC38	-0.1014381286	7.9742716937	-0.9779998295	0.3284479332	0.5645428711	-7.276465929
TTC39A	-0.02397934	6.317175315	-0.4719457448	0.6371281171	0.8149388694	-7.6429164226
TTC39B	0.1320991557	6.6347613316	1.7219706409	0.1373782624	0.0777475925	-6.1109558101
TTC39C	0.4573045289	6.9767804067	2.7281718652	0.0065453468	0.027986898	-4.0553580571
TTC3L	-0.0354669332	6.4087466904	-0.6227991245	0.5336407793	0.7425285072	-7.5604020093
TTC4	0.3429154074	9.3215282086	3.3504707444	0.0008546949	0.0045993047	-2.1919367016
TTC5	-0.0766264605	7.8215650474	-0.7141861359	0.4753752892	0.6979313113	-7.4993676648
TTC6	-0.0522086674	6.148941876	-1.2366221603	0.216685894	0.4344479967	-6.9907173722
TTC7A	0.0320936549	6.526722775	0.7238551885	0.4694219975	0.693112116	-7.4924226727
TTC7B	-0.1314723004	6.6716784987	-1.4793535871	0.1395431854	0.3232192728	-6.6621321233
TTC8	-0.4131210434	7.2275789441	-3.330576467	0.0046275377	0.0003931593	-2.0128541011
TTC9	1.121155899	6.3754617825	21.5718981064	8.56220693268216e-78	2.51181115302802e-75	166.5313984497
TTC9B	-0.0389186595	6.2063268331	-0.9161367222	0.3599439853	0.5959120915	-7.3349581414
TTC9C	-0.1957717079	7.3523472718	-1.8811757057	0.178971879	0.021180769	-5.5448923392
TTF1	0.1670989333	6.8753394084	1.9862341644	0.0910905296	1.52633362719179e-06	-0.4193825516
TTF2	1.9918549335	7.5853530775	12.7494449402	2.66544445842623e-33	2.1668090742845e-31	64.5547507176
TTK	2.5057809397	7.1947302271	10.5993224826	2.8237383579278e-24	1.38205167236568e-22	43.9359922877
TTL	-0.2300076021	8.8934306819	-1.613403912	0.1071550407	0.2679358213	-6.4556691551
TTLL1	-0.3277958703	7.0489183022	-3.7101446536	0.1217138661	1.25649728666733e-06	0.932798229
TTLL10	0.0560187777	6.1520742936	1.1533256797	0.2492119293	0.4754008164	-7.0900073348
TTLL11	-0.2065097675	6.6247833218	-3.0537553948	0.002354806	0.0114235663	-3.1266409738
