SYMBOL,Norm.y.2,Tumour_24h_2millimol_Metformin_hydrochloride,Norm.y.3,Tumour_24h_4millimol_Metformin_hydrochloride,Norm.x.3,Tumour_48h_2millimol_Metformin_hydrochloride,Norm.x.4,Tumour_48h_4millimol_Metformin_hydrochloride
NR2C1,46.5629360831,48.0077683647,46.5629360831,49.880791036,39.8054062034,46.2242627626,39.8054062034,42.543678849
NR2C2,75.7505044203,89.058948848,75.7505044203,83.928719216,90.5366861223,110.736440832,90.5366861223,113.192009903
NR2C2AP,122.397210619,130.317983642,122.397210619,146.704848531,142.965387823,219.612927597,142.965387823,161.054330082
NR2E1,19.5907291133,19.8285619141,19.5907291133,17.2795218085,18.4504991156,20.8089836508,18.4504991156,21.0107549087
NR2E3,17.0496858913,15.6626437133,17.0496858913,15.7310199953,16.6250988514,14.5302800124,16.6250988514,15.3841114698
NR2F1,18.541485133,16.4875269434,18.541485133,16.0291692885,18.2088963058,16.2155228024,18.2088963058,16.6044932929
NR2F2,132.891939763,130.995382038,132.891939763,131.049555524,126.761742812,162.015433829,126.761742812,168.855721275
NR2F6,69.2092902296,66.6210497732,69.2092902296,67.6573246985,69.9923381625,71.5113016807,69.9923381625,84.1358656691
NR3C1,570.11035491,577.217090104,570.11035491,622.976241829,539.723648806,584.082668854,539.723648806,624.769052655
NR3C2,19.1909151966,16.3022421492,19.1909151966,14.4416833097,19.7503044863,17.2445965986,19.7503044863,16.4595645256
NR4A1,30.9576654915,29.0862851645,30.9576654915,31.2427680405,27.2737880647,38.5601604709,27.2737880647,32.3582466124
NR4A2,16.4174778383,16.8641672089,16.4174778383,15.3856380396,18.7603362732,16.3901644949,18.7603362732,17.3617795079
NR4A3,16.4281455936,15.7893755011,16.4281455936,18.1851895674,16.8859820981,17.7525636247,16.8859820981,16.6776506415
NR5A1,13.1892232189,12.8295568846,13.1892232189,12.1730444704,14.1860685588,12.6906948686,14.1860685588,13.4946914535
NR5A2,14.4492711285,14.1090224484,14.4492711285,12.8328370216,13.6280297645,13.7489614976,13.6280297645,13.3779750651
NR6A1,34.255688416,29.8534109279,34.255688416,32.4418819487,33.7767179321,32.7008523436,33.7767179321,30.0232862854
NRAP,16.7931830324,14.6131059208,16.7931830324,16.7273884191,14.4623236702,14.9688527458,14.4623236702,14.8720231601
NRARP,43.4176715026,34.7077198742,43.4176715026,42.727986069,49.4176703278,59.5757382277,49.4176703278,57.7714991743
NRAS,815.277609465,670.468959003,815.277609465,710.313565486,526.970619741,449.878011273,526.970619741,460.439930715
NRBF2,361.318047556,373.319517945,361.318047556,391.811979398,392.922340942,552.911714846,392.922340942,549.286134336
NRBP1,210.433117265,217.638806148,210.433117265,219.612927597,189.55675049,208.18137171,189.55675049,204.651691233
NRBP2,139.403453344,162.788952345,139.403453344,155.191195043,184.699382353,183.167226874,184.699382353,177.195052815
NRCAM,36.1143272506,33.520335098,36.1143272506,30.8048641015,32.768256061,29.9106629703,32.768256061,32.0617994241
NRD1,267.046165357,291.682069536,267.046165357,258.22709712,285.065929177,339.29420665,285.065929177,326.873929464
