SYMBOL,Norm.y.6,Tumour_24h_01micromol_Retinoic.acid,Norm.y.7,Tumour_24h_1micromol_Retinoic.acid,Norm.x.7,Tumour_48h_01micromol_Retinoic.acid,Norm,Tumour_48h_1micromol_Retinoic.acid
IL21,22.6718218995,19.4844831345,22.6718218995,26.2212733614,25.7093282138,23.8989897372,25.7093282138,24.8378371122
IL21R,14.4607442821,18.130818204,14.4607442821,16.7597675627,14.8963764831,15.3965114213,14.8963764831,16.3264018029
IL22,18.1496527492,18.9230270956,18.1496527492,16.6848207963,17.8160991666,18.1669007788,17.8160991666,18.2296659711
IL22RA1,26.005881595,28.1327855889,26.005881595,27.9369457455,34.8600611761,29.0002581755,34.8600611761,32.9249906329
IL22RA2,25.3277046632,21.9158760241,25.3277046632,23.7741923505,24.6193593084,24.0603316577,24.6193593084,22.3616788812
IL23A,17.762747641,16.6582718464,17.762747641,19.2894081973,16.7386347244,17.0747120925,16.7386347244,14.8391922505
IL23A ,17.6797110028,19.6481821408,17.6797110028,17.607362255,18.0773924491,18.1039789517,18.0773924491,16.9977526829
IL23R,14.9907169659,15.629786792,14.9907169659,13.8498902854,14.7114616175,13.542665986,14.7114616175,14.6868885775
IL24,24.8587559568,22.6739093217,24.8587559568,24.4832055714,26.2901185769,24.2134312142,26.2901185769,19.3896401386
IL25,32.3582466124,27.6025049215,32.3582466124,29.2293013117,27.4798036971,26.9367767139,27.4798036971,26.44051784
IL26,12.73594829,14.0559855693,12.73594829,11.8926170359,12.2086886766,11.8960402578,12.2086886766,11.3607619868
IL27,32.4657065457,30.8720495094,32.4657065457,33.6741440902,24.2343946849,24.7588053653,24.2343946849,28.4427691843
IL27RA,27.9497285331,45.5856490808,27.9497285331,34.1041038859,36.0051290532,26.691637686,36.0051290532,27.788804718
IL27RA ,17.5592929774,14.774723487,17.5592929774,19.1459383533,19.9066003907,15.0097057792,19.9066003907,19.7600022273
IL28A,17.7372303597,14.892168664,17.7372303597,17.7391264753,15.6235784651,15.8974427621,15.6235784651,19.4541482745
IL28A ,12.9499395724,13.2842319583,12.9499395724,11.9884878686,13.4158805965,13.164926617,13.4158805965,12.5012971446
IL28RA,45.3213233315,32.7730810953,45.3213233315,28.5341932547,46.2850482108,42.4547978006,46.2850482108,40.0311205017
IL29,29.818630178,25.5695060652,29.818630178,31.9237731619,27.6642404031,26.1652756894,27.6642404031,27.6627681694
IL2RA,15.0996720731,15.6389497675,15.0996720731,13.3936032408,15.9362985667,15.358308601,15.9362985667,15.9689916249
IL2RB,36.2907957431,42.1905653968,36.2907957431,39.2790649941,65.6553234412,52.6288302061,65.6553234412,36.4950225059
IL2RG,31.1630530723,42.2838573392,31.1630530723,44.4831380646,35.9418076276,33.2615546343,35.9418076276,29.5106679878
IL3,12.8179156119,11.6836570836,12.8179156119,12.6070635053,12.7616488962,11.1383676068,12.7616488962,12.4340276497
IL31RA,33.3966972477,28.9290636176,33.3966972477,25.0212186354,28.0692917971,27.6149886054,28.0692917971,26.3376244909
IL32,19.2274426122,25.0739863235,19.2274426122,20.5079294342,21.1957694171,26.4823667053,21.1957694171,24.6615063544
IL33,42.4149625914,62.6010916927,42.4149625914,38.588832245,187.356954589,123.650496404,187.356954589,75.9779385248
IL34,26.2304335704,26.2263642676,26.2304335704,28.3537850615,26.6339976761,28.1785995053,26.6339976761,31.5334769164
IL3RA,30.4376489304,21.5777142667,30.4376489304,20.5904885911,26.691637686,24.1642802883,26.691637686,27.3842585112
IL4,13.7341829631,14.8408067764,13.7341829631,14.4336073964,13.1296127292,13.5926078191,13.1296127292,14.0733675712
IL4I1,22.017890769,24.1481991559,22.017890769,20.9701196547,26.4236520532,18.8127709055,26.4236520532,22.9267188246
IL4I1 ,18.3028660834,20.3400116109,18.3028660834,19.0629212485,18.6514410871,19.5148247182,18.6514410871,17.0475223903
IL4R,99.2497783975,120.849499256,99.2497783975,107.965636628,87.0363449908,108.3920364,87.0363449908,94.3391668575
IL5,11.5428407238,10.1623381622,11.5428407238,12.5230109116,11.7316392397,11.4007407634,11.7316392397,13.3405463025
IL5RA,15.2241357557,14.648682282,15.2241357557,15.4959354767,14.6429518511,15.093679028,14.6429518511,14.7906685098
IL6,15.0195534929,16.6693089726,15.0195534929,16.3976131018,15.1511686043,16.9962693604,15.1511686043,17.8555575469
IL6R,97.4094330756,84.4348310975,97.4094330756,78.3498220018,180.141019352,91.0342147211,180.141019352,93.6482431501
IL6ST,106.905396842,82.1551888702,106.905396842,99.9319338288,73.4721198799,61.1214047714,73.4721198799,60.2117602633
IL7,14.3128391416,11.934197578,14.3128391416,10.973599703,11.2016701702,11.6091160116,11.2016701702,11.1848456782
IL7R,46.7737811885,45.1552694475,46.7737811885,46.9007411349,42.2393590202,37.0227704521,42.2393590202,29.2970878222
IL8,70.5777476073,173.884512543,70.5777476073,181.827300707,77.1607487591,78.486746395,77.1607487591,130.555658244
IL9,12.2517587824,11.5796592961,12.2517587824,11.9074270669,12.2439180551,12.2788924887,12.2439180551,11.5576212844
IL9R,18.4049386979,18.1684049509,18.4049386979,17.6606672382,17.4673928709,17.2964347361,17.4673928709,18.2138003279
ILDR1,22.9034655756,19.3024085211,22.9034655756,22.5925574242,18.700579427,21.1578390452,18.700579427,20.7103846279
ILF2,1296.85172059,1304.79606233,1296.85172059,1266.04739711,1141.20222158,1061.47649286,1141.20222158,994.132687515
ILF3,450.976135128,405.440345215,450.976135128,426.534544086,371.183734698,309.249545308,371.183734698,307.660082832
ILK,609.69500419,692.606779685,609.69500419,687.091004281,643.450422448,645.669663983,643.450422448,648.499950113
ILKAP,198.106485921,184.990332029,198.106485921,189.325730652,146.194954334,131.368542313,146.194954334,128.192124171
ILVBL,52.6563692847,51.078274868,52.6563692847,51.1980638954,49.9961738356,45.8950197008,49.9961738356,47.9146966336
IMMP1L,80.2870823931,77.8268399897,80.2870823931,80.4742712189,84.356782315,89.4189690783,84.356782315,75.6475574201
IMMP2L,68.3878710919,63.5959583249,68.3878710919,57.0511371662,66.7026136968,58.071224548,66.7026136968,56.8608352386
IMMT,135.784199948,142.183553303,135.784199948,140.921641307,132.974346036,146.194954334,132.974346036,143.639662997
IMP3,954.409256634,794.270856885,954.409256634,727.534290707,757.893671401,640.735085356,757.893671401,576.957305377
IMP4,668.581279215,655.863536025,668.581279215,636.393185261,615.676967943,563.279873298,615.676967943,578.145716576
IMP5,19.9561942339,23.4189719909,19.9561942339,23.939049731,25.8903874061,22.9169289349,25.8903874061,23.9241193531
IMPA1,647.968584509,776.188603975,647.968584509,722.543318213,634.119061425,702.439153943,634.119061425,744.9919446
IMPA2,162.015433829,200.804503856,162.015433829,218.922671273,972.789980247,358.710134127,972.789980247,388.383033843
IMPACT,199.71772445,196.772374609,199.71772445,185.337864351,211.26183303,213.438612119,211.26183303,231.198830128
IMPAD1,125.965474189,126.832477088,125.965474189,140.273104622,116.384561686,115.439855048,116.384561686,113.310905394
IMPDH1,78.2476685966,76.9845764786,78.2476685966,78.1404471597,69.7766400507,70.8184179461,69.7766400507,89.6655706488
IMPDH2,350.48780144,335.234086974,350.48780144,336.621911273,337.062959482,297.018123067,337.062959482,296.133014349
IMPG1,10.3493140984,10.3075635754,10.3493140984,12.2264323654,11.4480600431,11.0131281813,11.4480600431,10.635466542
IMPG2,17.8182535329,17.584762443,17.8182535329,17.2503617703,17.7078314136,17.1167131971,17.7078314136,15.8001450103
INA,33.3910914429,27.9850371607,33.3910914429,30.3797431986,26.5719106414,25.1649643809,26.5719106414,28.7209443992
INADL,48.5162658177,52.7258847499,48.5162658177,49.5133849765,54.7045493089,57.9552284534,54.7045493089,64.4370952876
INCENP,30.8272001715,30.0248439966,30.8272001715,26.8836193337,21.2346040473,22.4151330452,21.2346040473,19.7751092121
INE1,26.4613849391,31.3874170045,26.4613849391,34.8433875107,27.7767152641,28.3067239442,27.7767152641,27.2240920945
INF2,38.340457621,37.2231238719,38.340457621,36.0160252509,32.3698961132,29.9690687144,32.3698961132,32.1807749904
ING1,62.459656093,64.3129566808,62.459656093,61.0484680943,60.3508294561,60.086623388,60.3508294561,64.2761575021
ING2,90.5956705798,74.0269151761,90.5956705798,96.4590540594,77.0313454097,66.7606262025,77.0313454097,75.2562578765
