SYMBOL,Norm.y.1,Tumour_24h_5micromol_Capryloylsalicylic_acid,Norm.y,Tumour_24h_10micromol_Capryloylsalicylic_acid.y,Norm.x.2,Tumour_48h_5micromol_Capryloylsalicylic_acid,Norm.x.1,Tumour_48h_10micromol_Capryloylsalicylic_acid
COL8A2,23.9343618044,24.5067329759,23.9343618044,21.5248750106,23.3985343909,20.6197979562,23.3985343909,24.2201519176
COL9A1,20.2365409141,17.0863124858,20.2365409141,15.9073180579,15.9862587443,16.8597284696,15.9862587443,16.7313409208
COL9A2,25.936138886,25.5206801337,25.936138886,25.6431937763,25.2538674417,25.3588395084,25.2538674417,22.7484543841
COL9A3,31.2181072456,29.4284086928,31.2181072456,26.0552142023,18.3383334814,18.1509959236,18.3383334814,25.9979221282
COLEC10,20.7611232015,19.8458247211,20.7611232015,24.2383320852,21.2451142028,20.6130186265,21.2451142028,20.8854382001
COLEC11,12.77404754,13.6087504787,12.77404754,14.1480141146,16.3072053546,13.8921425757,16.3072053546,14.7980985553
COLEC12,13.8120305688,13.8630536623,13.8120305688,16.9820491855,13.6090350118,12.8561141253,13.6090350118,13.6470838953
COLQ,21.2985859443,22.9625149674,21.2985859443,22.6025105247,26.3624777405,27.1454876533,26.3624777405,23.209575084
COMMD1,414.190697567,414.825899237,414.190697567,410.810082661,438.892899746,418.444620768,438.892899746,292.287384223
COMMD10,111.105232693,116.137394259,111.105232693,134.34694463,126.071890754,132.271680047,126.071890754,150.039366446
COMMD2,414.006444568,417.241002503,414.006444568,377.372182361,365.096358276,373.807307344,365.096358276,397.878789489
COMMD3,565.861759554,614.575125696,565.861759554,625.235988274,655.863536025,634.873623355,655.863536025,562.774220578
COMMD4,131.281600178,116.023844886,131.281600178,103.128195632,113.621402549,104.639431843,113.621402549,80.6337860138
COMMD5,160.296115637,157.316300321,160.296115637,174.017578366,164.525482313,183.70380952,164.525482313,162.015433829
COMMD5 ,16.5839489257,20.4579352108,16.5839489257,22.7722283103,20.5318410361,23.3858285158,20.5318410361,22.8133951405
