SYMBOL	SPT1657_SPT1663	SPT1658_SPT1664	SPT1659_SPT1665	SPT1660_SPT1666	SPT1661_SPT1667	SPT1662_SPT1668
ELF2	15059.2929080987	14703.3711656224	19516.3029801273	19054.9394850244	10934.9874827711	9015.26204777241
ELF3	3195.11824058188	2977.85292253969	3197.95282575488	2968.77661910963	3348.37000155305	2714.73445546006
ELF4	9185.84071468066	9317.7978543984	8285.48866624724	7783.7441962239	10550.8158400214	8747.04367951113
ELF5	17273.5148179016	17306.7688670183	15950.5044997419	16460.6603441347	16969.4691312175	14784.5610272178
ELFN1	5369.58751286591	5301.07628982574	4514.00386853952	4732.45118360817	5090.01677873737	4784.96360854472
ELFN2	6130.85052135292	5745.79745507958	5289.80827702929	5402.55684076211	5843.94075324885	5116.98149158659
ELK1	9122.23649465041	8572.44518143297	8594.44487732898	8186.35165464927	9341.65361860541	7804.37329785497
ELK3	8295.38163425722	7826.20306613703	7012.96460347688	6907.80094208221	9025.45872765592	8029.62464595789
ELK4	3339.22155158791	3032.10890470066	2991.41303823615	2744.80355102164	3674.86440035106	2924.36143259631
ELMO1	9129.19320621622	8544.87246918723	8257.32414976741	8419.39245828738	9151.11272340783	7681.98239194934
ELMO2	4754.41544726088	4857.24456690241	4735.9061195927	4403.29238313878	5349.56437652001	4731.58034107524
ELMO3	2531.24919401619	2671.88476084505	2311.19729173852	1952.28346394106	2717.01017043893	2201.73427538751
ELMSAN1	4678.88543597496	4368.05128512319	4273.32527316645	3864.66889146159	5600.87236802384	4646.94833167241
ELN	2406.02838583164	2107.08888097268	2143.91713325227	2370.30607280164	2205.1246303676	2190.01599716251
ELOVL3	3508.17026104325	3416.34799147998	3094.68293199552	2703.09196749108	3606.88764855084	3295.44024305488
ELOVL6	7470.51440573997	7224.94005071384	6857.63302773966	6578.64214161281	8050.09533440131	6973.67757479333
ELP2	3956.38124906889	4020.27933389469	6118.52783769329	6028.23059372047	2436.86355695925	2023.35604018462
ELP3	2815.48055227635	2822.20051470085	3686.99124826824	4007.9391131535	1779.75495622383	1342.3938722203
EMB	8465.32415965053	8313.61746325523	8054.19824303412	7473.62764040976	8676.30541159117	7433.2944873964
EMC2	10710.3543635306	10051.5877770672	11912.7370007704	13250.6819593919	8104.68272599845	7148.14971725456
EMILIN1	3771.53148460598	3842.39086779315	3669.92184434107	3530.97622321713	4260.9063969317	3718.60029006904
EMILIN2	1671.5984076699	1673.04102368494	1520.03041971429	1410.03287804382	1708.68835206906	1498.63758188707
EML1	11709.1393811931	11641.0212216844	11309.333571945	10865.86750971	12113.2511806415	10211.8284576371
EML2	5587.23320328191	5062.70574524968	4595.93700738992	4633.61286611185	5835.70114697004	4758.92299026692
EML3	2855.23318979525	2563.37279652312	2820.71899896448	2488.18663495321	2677.87204061456	2201.73427538751
EML4	5626.98584080081	5336.65398304605	4943.29937730779	4790.48469112895	6206.48342951667	5027.1413585282
EML5	4041.84941973453	3911.76736957275	3583.72135450888	3635.25518204352	3982.81968502173	3446.47582906609
EML6	6678.44310317581	6014.4090388929	5357.23242254161	5152.28733957877	6681.29074133333	5467.22780742293
EMX1	2671.37724127033	2613.18156703155	1978.34391515875	2398.41605300701	2610.9252395992	2498.59732375437
EMX2	7654.3703542649	7028.37329567164	6353.23214169185	6111.65376078158	7646.35462673942	6622.12922804311
EN1	1290.9669034264	1248.77703203277	1263.13589061042	1104.45019000474	1263.7496130131	1313.74919211473
EN2	5662.76321456782	5798.27455257953	4953.54101966409	4981.8139112365	6282.6997875957	5202.91553190332
ENAH	1994.58858751099	2080.40561105745	2075.6395175436	1946.84282261099	2131.99812464313	1654.88129155383
ENC1	7996.24303692747	7128.88027901901	6538.43517430162	6596.77761271306	8609.35861057581	6877.32728716549
ENG	5913.20483093692	5833.85224579984	5223.23760171334	5094.253832058	6432.0426513992	5421.65672543679
ENGASE	2995.36123704939	3057.90273228538	2949.59299861459	2582.49108467447	3217.56625187688	2986.85891646301
ENO4	5567.35688452246	4809.214681055	4416.70826615466	4426.86849556909	5634.86074392394	4941.20731821148
ENOPH1	3241.82758966659	3048.1188666498	3150.15849475881	2983.28499598982	3310.26182251354	2643.12275519613
ENOX1	3498.23210166352	3201.10294749712	3005.92203157425	2832.76058585781	3891.15406516993	3183.46558446036
ENOX2	3856.00583933365	3260.69558364113	3279.88596460529	3078.49621926609	4273.26580634993	3545.4301785217
ENPEP	5403.37725475698	5298.40796283422	5164.34815816461	4809.5269357842	5496.84733875381	4657.36457898352
ENPP1	4118.37324695842	3808.59205923386	3558.97071881448	3601.70456050808	4178.51033414357	3447.77785997997
ENPP2	5522.63516731369	5016.45474406328	4592.52312660449	4736.98505138323	5907.79770190966	4792.77579402805
ENPP3	3240.83377372862	3151.29417698869	2767.80384679026	2804.65060565244	3273.18359425887	2673.06946621559
ENPP4	6412.10043179916	5834.74168813035	5168.6155091464	4866.65366974996	6696.7400031061	5769.29897944534
ENPP6	2354.34995705707	2172.01817109974	1954.44674966071	1848.00450511467	2459.52247422599	2058.51087485964
ENPP7	3296.48746625509	3234.0123137259	3133.08909083165	3427.60403794575	3254.64448013154	2527.24200385994
ENTPD1	9506.84326264581	8851.73007321238	7917.64301161677	7601.48271166647	10483.869039006	8537.41670237489
ENTPD2	1928.9967356048	2011.91855160836	1706.08692252042	1778.18294137874	1931.15772159704	1764.25188832057
ENTPD3	7784.56024213931	7468.64724927294	6803.01093517272	6396.38065705538	8538.29200642104	7166.37815004901
ENTPD8	3186.17389714013	2816.8638607178	2560.41058907517	2513.57629449355	3487.41335750804	2809.78271217401
EOMES	3249.77811717037	3011.65173109899	2760.97608521939	2671.35489306566	3517.28193026874	2890.50862883518
EP300	6370.36016240431	6440.45191520607	6858.48649793601	7674.93136962245	4818.1097715365	3699.06982636069
EP400	2982.44162985575	2632.74929830272	2424.70882785418	2288.69645285055	2909.6109672062	2532.4501275155
EPAS1	3865.94399871338	3948.23450512357	3602.49769882876	3512.84075211689	4260.9063969317	3743.33887743294
EPB41	4753.4216313229	4667.79335050428	4900.62586748987	4636.33318677689	4981.87194632793	4023.27552391923
EPB41L1	2510.37905931877	2760.82899389582	2416.1741258906	2433.78022165249	2543.97843858383	2283.76222296257
EPB41L2	1843.52856493916	1677.48823533747	1682.18975702238	1445.39704668929	1785.93466093294	1398.38120151756
EPB41L3	1236.3070268379	1050.43139232956	1006.24136150654	1097.19600156465	1050.54980054879	1062.45722573401
EPB41L4A	4356.88907207184	4367.16184279268	4403.90621320929	4433.21591045418	4603.88000828734	3783.70183576352
EPB41L4B	7283.67700940112	6653.02863219741	5840.29655368046	5730.8088676765	7954.30991141009	6637.75359900978
EPB41L5	4976.03640142876	5132.97168935979	4525.09898109218	4336.19114006788	5195.07175879225	4588.35694054737
EPGN	7162.43146496846	6965.2228902056	6467.59714800387	6552.34570851746	7956.3698129798	6486.71801299858
EPHA1	4571.55331467392	4235.52437787755	3775.75214868951	3468.4088479213	4755.28277366055	3764.17137205518
EPHA10	6237.18882671598	5599.03947054581	5656.8004614634	5686.3769634809	6331.10747448373	5476.34202382016
EPHA2	3926.56677092971	3581.78426495441	3262.81656067812	2529.89821848377	4598.73025436308	3420.43521078829
EPHA3	3894.76466091458	3876.18967635245	3263.67003087448	3371.384077535	4312.40393617429	3788.90995941908
EPHA4	3290.52457062725	3113.04815677686	2621.86044321297	2528.08467137375	3096.03205926437	2878.79035061017
EPHA5	3982.22046345617	3451.92568470028	3630.66221530859	3282.52026914382	4010.62835621273	3584.4911059384
EPHA6	8290.41255456736	8539.53581520418	7423.48376792527	7318.56936250269	9867.95846966465	8491.84562038875
