Pathway,AMCF,genes
ATM_Pathway_Checkpoint_Activation,0.0,ATM MRE11A RAD50 RAD9A TP53BP1 
ATM_Pathway_DNA_Repair,0.0,ATF2 ATM BRCA1 H2AFX MRE11A RAD50 SMC1A SMC2 SMC3 TP53BP1 
ATM_Pathway_G2.M_Checkpoint_Arrest,0.0,ATM CCNB1 CCNB2 CCNB3 CDK1 CDKN1A CHEK2 GADD45A GADD45B GADD45G TP53 
ATM_Pathway_G2_Mitosis_Progression,0.0,CDC25C CDK1 CHEK1 CHEK2 
ATM_Pathway_MDMX_Ubiquitination_._Degradation,0.0,ATM CHEK2 MDC1 MDM2 MDM4 
ATM_Pathway_NF_kB_Pathway,0.0,AP3B2 ATM MRE11A RAD50 TP53BP1 
ATM_Pathway_Synaptic_Vesicle_Transport,0.0,AP3B2 ATM MRE11A RAD50 TP53BP1 
ATM_Pathway_S_Phase_Arrest,0.0,ATM FANCD2 MRE11A RAD50 TP53BP1 
ATM_Pathway_S_Phase_Progresion,0.0,ATM BRCA1 CDC25A CDK2 CHEK1 CHEK2 TLK1 
Brca1_as_a_transcription_regulator_effect,0.0,ATF1 ATM ATR BRCA1 CCNB1 CCND1 CDKN1A CDKN1B CHEK2 DDB2 E2F1 ESR1 GADD45A IGF1R MSH2 MYC NFYA PCNA POU2F1 RB1 RBBP8 SFN SP1 SP3 STAT1 TERT TP53 VEGFA XPC ZNF350 
