SYMBOL	Normal_A1209_16.CEL	Normal_A1209_17.CEL	Normal_A1209_18.CEL	Normal_A1209_19.CEL	Tumour_A1209_03.CEL	Tumour_A1209_07.CEL	Tumour_A1209_11.CEL
ACTC1	33.40770234	33.28570758	49.63609099	44.99497012	38.59456527	45.32106453	35.93489032
ACTG1	4278.13874	4073.509282	4284.61205	3829.858251	3205.099643	3584.35931	2761.76773
ACTG1P17	56.19741765	55.35218258	67.80244224	56.58908382	52.35515092	54.96475996	44.71449309
ACTG2	52.97376373	57.59264145	55.57933609	55.62614724	45.26054073	55.51998354	53.29307718
ACTL10	126.924239	110.0033687	137.526396	170.9177185	124.3185918	127.8151558	122.8467452
ACTL6A	288.8145772	281.8598075	234.1053897	225.0026394	283.3296023	314.9580968	343.767685
ACTL6B	48.34500202	45.9447611	55.9748633	54.84556925	47.34478943	63.29986559	49.3734527
ACTL7A	42.93937011	38.24290126	44.67119131	47.02164664	41.13755365	44.00356437	43.13313257
ACTL7B	86.89827904	93.33030913	85.28348193	95.92382962	88.85943588	83.303614	77.74352929
ACTL8	35.57751463	33.14789454	45.66102761	48.27470336	40.43846858	46.66735041	31.6839698
ACTL9	168.4927081	168.6239012	196.2669261	229.904555	165.3687041	205.3634713	166.6339571
ACTN1	457.9023354	632.1491685	420.4615841	293.8623985	1081.460104	1350.407166	1116.764612
ACTN2	34.42736164	28.12995965	44.11256496	39.21683023	31.19297563	36.39093958	28.33432103
ACTN3	41.2178041	40.02396993	49.15772664	45.25205017	42.63142442	49.24772864	43.97091799
ACTN4	2636.13446	2786.544093	2579.823177	2529.519424	1787.620615	1904.213737	1525.534082
ACTR10	346.706661	364.1422424	325.3518308	330.7634236	340.6193708	357.6936075	311.0522902
ACTR1A	627.3105993	674.174453	633.0752294	636.0810017	910.5774131	882.1998245	907.6791574
ACTR1B	188.3875787	183.1595354	203.1745491	177.8389719	126.6826836	145.2666455	136.8188034
ACTR2	1220.589231	1147.125972	1096.40458	1124.827785	1183.755067	1186.562074	1039.053993
ACTR3	2066.029772	2418.934722	2172.300804	2474.180823	2160.581259	2338.842199	1924.658307
ACTR3B	257.9621491	195.6950335	236.8528616	232.0246946	239.4815459	240.440457	242.9028043
ACTR3C	67.42825127	170.7042062	99.31739956	106.4311569	175.6444169	111.4959879	141.0689554
ACTR5	169.6869542	210.958774	166.4137198	136.6701768	185.4536473	132.1817239	169.1046928
ACTR6	76.89565017	66.987109	68.6743607	64.29021475	96.94758593	108.8369583	98.73314478
ACTR8	191.9565934	212.3988697	157.1685236	154.2677907	245.094009	239.8700262	239.7227239
ACTRT1	18.05311254	17.23541035	17.85400029	19.59924204	17.00355412	17.90459748	19.0671711
ACTRT2	77.16624745	72.04865387	70.1312336	71.82966587	82.457973	91.59198243	83.96949608
ACTRT3	25.37317189	24.01514594	23.54636124	28.18354853	22.56817139	22.53063349	28.52105281
ACVR1	150.1530012	154.6869235	136.7310286	139.0751926	155.0794112	168.1545708	127.3770464
ACVR1B	462.586062	449.0456023	456.4996171	404.6659564	313.3771789	336.4980065	248.602233
ACVR1C	49.44498082	45.72386664	54.82858331	55.34489648	61.3731272	61.09880003	55.97126576
ACVR2A	495.8619919	525.8925653	537.7553854	429.6262777	346.2505365	329.49617	280.4134684
ACVR2B	42.53230235	39.99974595	44.3958465	45.63698447	40.47120695	36.69348833	41.3024849
ACVRL1	57.22481297	39.49618196	58.21661959	59.2162285	53.6875628	50.20326025	48.33064643
ACY3	80.78621093	66.54918089	84.88881259	94.58878056	79.20521492	85.59459317	83.94254077
ACYP1	92.94818281	91.23492851	79.41602758	92.93485196	79.60787126	88.0366294	81.77188486
ACYP2	140.1434407	142.1878363	136.4483752	115.9646969	160.709495	152.8079005	152.8284834
ADA	101.4150035	97.18825708	114.9605279	105.4538607	168.7300911	204.0044692	190.3588803
ADAD1	16.88111141	16.78559702	18.07061059	24.28511016	18.51389732	17.66404398	22.41602726
ADAD2	144.3861057	133.9656908	149.7260408	150.0493236	125.5718726	144.4715408	139.1231309
ADAL	59.53594622	71.09071131	60.23542458	38.22189712	60.83428757	69.22786411	60.57619885
ADAM10	897.4680574	986.228827	982.7654401	892.599905	934.3141834	813.4765484	789.9579694
ADAM11	66.62838672	59.16705362	90.39273616	91.45551278	79.83568053	79.32161751	69.42975272
ADAM12	38.7286316	36.67690908	31.79120396	31.04359465	31.95192844	35.49252524	28.18092216
ADAM15	574.7386371	573.6534274	546.3418565	619.6043003	687.6005385	689.1483667	532.7919092
ADAM17	371.132514	351.4724464	341.8832383	392.2975229	476.3190153	526.8590064	449.7354126
ADAM18	13.17792024	11.88009342	10.73241618	13.86141943	11.48752735	14.99911987	13.70331196
ADAM19	39.67309041	40.10402044	45.88720984	39.34915004	47.81528582	60.86272687	43.39890149
ADAM2	12.94211643	12.57186156	11.7041442	13.46176223	15.31195345	13.17973356	19.43972667
ADAM20	66.76804646	76.51580159	79.97296901	82.17327561	84.1276234	58.42271558	81.02876348
ADAM20P1	15.57981972	23.70725561	13.96777992	14.07394959	15.23588504	13.09214141	15.7233649
ADAM21	19.07849072	18.91965763	19.9394831	21.71571575	20.52998682	21.51335051	27.22886007
ADAM22	32.29156915	22.82809322	25.94343558	25.02775406	19.40695212	19.53857614	20.80648564
ADAM23	29.81812299	20.98865713	23.13038411	26.41767787	48.68732089	73.35348395	44.30980474
ADAM28	55.87810681	67.47706253	53.33834823	52.84315049	22.59325108	24.49400655	27.29848569
ADAM29	22.9494896	18.68657237	19.7903932	23.17912654	20.95478211	23.24426691	25.55362093
ADAM30	14.09349535	14.21578956	13.39332903	14.60830572	15.42890864	15.40567049	18.2342644
ADAM32	16.93137906	20.51342104	18.14227195	21.72167772	27.5161044	24.41006171	36.91830834
ADAM33	116.2335116	112.0480123	145.9247393	144.9062759	121.7207934	126.4113204	133.0849576
ADAM3A	15.04490793	19.58108837	17.8533517	16.47525639	14.15885651	19.39328783	19.26201407
ADAM5	12.05066426	11.34274071	12.08859	13.01106015	14.6472143	16.40771297	15.22918825
ADAM6	16.58714315	19.45219476	18.88342319	19.9443277	20.05738474	18.85283939	20.14572588
ADAM7	17.48029993	14.56118371	13.52518201	12.6254857	18.15506746	15.53014802	16.71293289
ADAM8	71.62086713	74.33560148	85.02749677	79.25933786	111.8905608	91.29354787	88.95354958
ADAM9	388.7776635	391.9284151	337.2118826	321.0667415	613.6039128	634.234177	574.4174992
ADAMDEC1	15.13898093	16.81384728	15.75593061	16.3300444	15.08055663	14.93828195	13.98912997
ADAMTS1	96.10144135	52.6189956	86.35654741	127.6819612	32.35237058	34.46002107	44.58354204
ADAMTS10	70.47805577	63.93440305	93.46872131	80.24236903	62.92812733	75.52328318	65.25116618
ADAMTS12	30.9682356	31.64113461	32.03943819	38.60466141	36.67054126	33.73129491	34.25496257
ADAMTS13	73.840428	63.81579344	81.01593894	93.81008719	81.84513144	84.05247052	74.74560885
ADAMTS14	51.71401391	61.27463425	60.80575661	73.090407	52.43001607	48.29246427	47.78628225
ADAMTS15	42.132731	42.20367825	49.06511591	55.17259829	50.82818481	79.86261351	50.46293897
ADAMTS16	60.21087533	54.84931182	55.84987082	80.40020281	52.2139512	75.38629176	69.83482958
ADAMTS17	81.16404604	96.33173155	83.86127947	87.16878576	54.63754435	48.31003448	47.47830419
ADAMTS18	26.80100354	27.03499321	33.09878481	35.95575713	30.31506799	35.55709396	36.86958544
ADAMTS19	20.52934154	25.39617355	24.47148083	27.39921447	28.58277547	27.4223097	29.28579979
ADAMTS2	76.06678509	61.29082256	79.37458436	78.27276393	71.8446184	74.78301409	67.74160092
ADAMTS20	21.16627635	17.4488777	19.35978179	21.07472874	20.9780966	21.49294053	22.02893137
ADAMTS3	37.81673787	32.90120852	30.0374768	34.55210535	34.76054459	38.43377214	35.79222827
ADAMTS4	41.41259699	31.866704	37.14184337	49.11852195	43.21974663	48.70970127	43.61579524
